Author Id,Topic Words
35,"{'gauge': 0.2302592513128148, 'theory': 0.1512093211016643, 'string': 0.1062536789274283, 'chiral': 0.10231226566629997, 'hole': 0.0888928908031627, 'dimensional': 0.08589068646207351, 'kaplan': 0.08524697082248187, 'matrix': 0.07271122109140785, 'black': 0.072634056602478, 'theories': 0.07255834030686954, 'model': 0.07139400921449976, 'anomalous': 0.07107746977838035, 'action': 0.05740139612763359, 'dimensions': 0.056974867812909946, 'dirichlet': 0.05210406197302332, 'background': 0.050663567850373875, 'point': 0.047275366670764055, 'potential': 0.04463875370908583, 'loop': 0.04253388878281448, 'lett': 0.040120773364843085, 'fermion': 0.036651624262258944, 'energy': 0.036651624262258944, 'fixed': 0.036167034335109795, 'chern': 0.03583265119711641, 'elds': 0.031387098592152586, 'open': 0.031034405558808507, 'anomaly': 0.030552318577594925, 'simons': 0.030552318577594925, 'regularization': 0.03002088405787648, 'small': 0.02985059558817861}"
40,"{'action': 0.1046696698131282, 'theory': 0.07937125260147393, 'gravity': 0.0782056804188962, 'string': 0.0742405925899285, 'lett': 0.07228088367478258, 'iib': 0.07111617525705118, 'states': 0.06631638655051808, 'quantum': 0.06526457631929908, 'conformal': 0.06437966145045294, 'brst': 0.06352645920302262, 'matrix': 0.05918818760011267, 'mode': 0.0556482972215196, 'field': 0.05555410001299421, 'wilson': 0.05555326068416614, 'supersymmetry': 0.054312040266667846, 'liouville': 0.0516543952793659, 'amplitudes': 0.05158311904433541, 'dieomorphism': 0.05126079800959149, 'superstring': 0.05101692159732493, 'supersymmetric': 0.04965113129199655, 'tachyon': 0.04761978809455726, 'transformation': 0.046448359782510586, 'invariance': 0.04473567191671641, 'order': 0.042816899606316364, 'genus': 0.04274320413062485, 'yjs': 0.04226117171435954, 'solution': 0.0417723793696117, 'state': 0.04175926037808709, 'diagrams': 0.040046514266982726, 'term': 0.0395152510424389}"
56,"{'string': 0.18516731733789143, 'theory': 0.1275198663707745, 'branes': 0.0866168573295784, 'dirichlet': 0.0719075271713076, 'hep': 0.07104499439339498, 'duality': 0.06770824275013712, 'black': 0.06484826500691736, 'xed': 0.06188075647224094, 'hole': 0.05785819304665619, 'eld': 0.05102618633862216, 'matrix': 0.05070267408732451, 'quantum': 0.0486445677972113, 'energy': 0.047730936204892216, 'low': 0.04635945927928846, 'gauge': 0.04569877008333781, 'point': 0.04555677148111498, 'heterotic': 0.04419411435115468, 'large': 0.04376616324593289, 'brane': 0.04335453989565229, 'boundaries': 0.043068249359127266, 'slice': 0.04193782611722285, 'state': 0.04096641603355193, 'phase': 0.040862043533222946, 'boundary': 0.040036848800714495, 'vertex': 0.038762880969014035, 'nice': 0.03870248074714344, 'scattering': 0.03858983002800187, 'closed': 0.035580992802478825, 'region': 0.035423483180737375, 'model': 0.034456529339408695}"
21,"{'theory': 0.32056556615944864, 'duality': 0.24822075931515405, 'type': 0.23260739887948295, 'string': 0.22652312742192138, 'brane': 0.22413880054104524, 'transformation': 0.16387541423934726, 'dimensional': 0.15452046245288287, 'arxiv': 0.1517775467742669, 'hep': 0.15036256084821842, 'black': 0.14516542466272697, 'eld': 0.13750494799038712, 'states': 0.1361847479605494, 'monopoles': 0.13190000319224238, 'sinh': 0.12215673880704912, 'action': 0.12047003086174868, 'cos': 0.11970922392987735, 'theories': 0.11498890879706446, 'iia': 0.11203201608130042, 'network': 0.11015578077318117, 'iib': 0.10853199811166175, 'bps': 0.1070853709030858, 'solution': 0.10655132218537872, 'charge': 0.10511327883757324, 'horizon': 0.10321781458751761, 'particle': 0.10225834084927554, 'kaluza': 0.10061573790124352, 'cosh': 0.10046257971143772, 'sector': 0.09659426362317047, 'branes': 0.09630706350194593, 'anti': 0.09545336781008155}"
67,"{'models': 0.12532088990299106, 'matrix': 0.11444337896509542, 'integral': 0.06281864007392543, 'function': 0.05688244082061566, 'supermatrix': 0.05533977118728351, 'ordinary': 0.04918798487570483, 'bosonic': 0.044692111067964314, 'instance': 0.027520581856106244, 'gauge': 0.02618643508512891, 'charges': 0.025541848364062092, 'partition': 0.022931246418373633, 'invariant': 0.022861414021829864, 'eigenvalues': 0.021995239190578282, 'degrees': 0.020959601658989798, 'defined': 0.019905852196653966, 'dimensional': 0.018857544154411363, 'model': 0.018857544154411363, 'fermionic': 0.01776841578243662, 'configurations': 0.01720025332064369, 'terms': 0.01697952222010746, 'opposite': 0.016794413078778023, 'equivalent': 0.016794413078778023, 'matrices': 0.016439053199008055, 'cancellation': 0.01574575586136108, 'number': 0.015732768232850688, 'fact': 0.015732768232850688, 'integration': 0.015719850519617384, 'gas': 0.014610958483879388, 'limit': 0.014331615719441589, 'freedom': 0.012745226308757131}"
52,"{'duality': 0.04670800641585944, 'solution': 0.04482557114330261, 'time': 0.044696102177915004, 'matter': 0.04308451099412588, 'action': 0.03333752854433266, 'case': 0.031129104663033147, 'equations': 0.030297341700732408, 'modes': 0.029556517891387343, 'decreasing': 0.024689659857271812, 'winding': 0.022894968752975205, 'large': 0.021594092747258653, 'eqs': 0.021429991739790197, 'string': 0.017654049270942274, 'dilaton': 0.017575901696798457, 'negative': 0.016404955572955182, 'solutions': 0.015098436960094427, 'classical': 0.014935937480203554, 'energy': 0.014691339562766123, 'radius': 0.013788188085978094, 'terms': 0.013642559280620956, 'expansion': 0.013538884780229528, 'constant': 0.01280402020696163, 'nucl': 0.012733799722003898, 'cosmological': 0.012733799722003898, 'potential': 0.012335012978215168, 'finite': 0.011284282994806577, 'fields': 0.011284282994806577, 'temperature': 0.010835685718975143, 'initial': 0.010776259881241673, 'positive': 0.010595958793546342}"
85,"{'operators': 0.0780084609265661, 'vertex': 0.07753109315898232, 'string': 0.06104005002247054, 'picture': 0.04728920848533304, 'basis': 0.042937174862477265, 'moduli': 0.04137746954587193, 'hep': 0.03886936836080945, 'complex': 0.03884277160898895, 'holomorphic': 0.03883004916815924, 'maxwell': 0.038539797259006255, 'numbers': 0.037769173363639386, 'ghost': 0.03745576712638804, 'strings': 0.034416583256281746, 'sheet': 0.0330707906626552, 'equation': 0.03299715679720801, 'eld': 0.03170193478595297, 'loop': 0.03161975842658401, 'cohomology': 0.03146564744641034, 'potential': 0.03004086696071411, 'brst': 0.02962001977589177, 'level': 0.028113431194796035, 'spectral': 0.028113431194796035, 'amplitudes': 0.028113431194796035, 'classes': 0.027383551648614498, 'states': 0.027383551648614498, 'dual': 0.026929229680041328, 'instanton': 0.025929700508184328, 'berkovits': 0.025929700508184328, 'expansion': 0.023932819189871404, 'closed': 0.023843531766935544}"
86,"{'singular': 0.12982191789194897, 'vectors': 0.11147479327511937, 'highest': 0.07447403008160428, 'kontsevich': 0.07241615155494857, 'virasoro': 0.06374432691443377, 'weight': 0.061378092548477994, 'miwa': 0.04601002498520447, 'algebra': 0.042945526592201515, 'theory': 0.03594980822187351, 'charge': 0.03547429768436618, 'hierarchy': 0.03397849053122383, 'states': 0.031181548430337425, 'conditions': 0.031137307439268805, 'function': 0.029955550688628742, 'transform': 0.028577609921529787, 'constraints': 0.02844921057081863, 'conformal': 0.028022907951380738, 'field': 0.026994658533376473, 'string': 0.025515861232191035, 'state': 0.024953409119088138, 'mff': 0.02204491489636415, 'terms': 0.020694277056616465, 'nucl': 0.020491443237593415, 'operators': 0.020047366596141827, 'case': 0.01915256170952146, 'vector': 0.018321699518151238, 'ane': 0.017202533248361747, 'dimension': 0.017187542984301793, 'formalism': 0.017187542984301793, 'matter': 0.016782734662710658}"
110,"{'ination': 0.13129321070088068, 'universe': 0.09425248771628214, 'moduli': 0.09045600897177786, 'roll': 0.077825328550732, 'eld': 0.0772663949144273, 'problem': 0.07347653702997806, 'solution': 0.058817858945722515, 'brane': 0.05599716583445013, 'fast': 0.05068688149243391, 'stage': 0.050371731616154, 'minimum': 0.05002937435167761, 'bubble': 0.04821263270382518, 'potential': 0.04678351228339068, 'scenario': 0.04540930984522448, 'field': 0.04074902037331679, 'tunneling': 0.04037957979840767, 'eective': 0.03890938807149396, 'theory': 0.03821044365834985, 'model': 0.03452309499377817, 'cosmological': 0.034404959499620934, 'inationary': 0.033887097626034306, 'open': 0.03292616806040835, 'linde': 0.030953434978791022, 'large': 0.03086956928682054, 'quantum': 0.030578792858718406, 'inflationary': 0.03052790962843801, 'lett': 0.028740415784528524, 'small': 0.028707323055868844, 'dierent': 0.02828749554693795, 'elds': 0.02768102606834147}"
112,"{'models': 0.0670000875625894, 'field': 0.05955991448177814, 'gauge': 0.05545969978804097, 'large': 0.04584562794952521, 'critical': 0.04452062260581856, 'expansion': 0.041122316266844115, 'limit': 0.03979593758215535, 'scaling': 0.0391372819383538, 'vector': 0.0364532011285397, 'theory': 0.03285630569564732, 'action': 0.02878173194751418, 'lett': 0.02750438437521264, 'rev': 0.027428712824384124, 'eld': 0.027356079072876478, 'order': 0.026649529001916625, 'function': 0.02588030095198961, 'matrix': 0.02454937488149297, 'case': 0.024413574951700406, 'series': 0.020127420364331572, 'regularization': 0.019506140555152263, 'quantum': 0.019308839698589236, 'propagator': 0.018955796812494933, 'equation': 0.018033602180674412, 'invariant': 0.01724056885033323, 'chiral': 0.017186048901893403, 'potential': 0.01706612768375172, 'general': 0.01660845607211068, 'state': 0.01573331876960314, 'fermions': 0.015688249855616575, 'operator': 0.01564409612412858}"
116,"{'string': 0.05554003979769323, 'gauge': 0.04026811243779684, 'duality': 0.03670284288272369, 'coupling': 0.03670284288272369, 'unification': 0.03538749925201267, 'nucl': 0.03428483933184605, 'log': 0.03426137559902435, 'scale': 0.032763439276785496, 'constants': 0.030581466099514315, 'holomorphic': 0.02912709945519776, 'lett': 0.029003712180853063, 'mst': 0.02701215629366475, 'model': 0.02688610692748953, 'space': 0.0254907562386042, 'threshold': 0.021757948320090828, 'minimal': 0.02084923003588429, 'field': 0.0207395623843628, 'iba': 0.020682335465055865, 'function': 0.019067360683127307, 'preprint': 0.018249782311423133, 'cern': 0.018218073200422905, 'theory': 0.018218073200422905, 'moduli': 0.017558951153633554, 'transformations': 0.017499807011401705, 'invariant': 0.017379796401698955, 'orbifold': 0.01659893453610841, 'group': 0.01634733835998214, 'fields': 0.014867101279662146, 'integers': 0.014266703593867502, 'standard': 0.013693032881249612}"
117,"{'type': 0.03246518779113343, 'lett': 0.027854721784396533, 'perturbative': 0.025868183459316407, 'equation': 0.02508655350506324, 'loop': 0.023753836431575012, 'string': 0.02357267405323825, 'dyson': 0.01940652384982855, 'half': 0.016429085536626448, 'charge': 0.015732211776478162, 'solutions': 0.014552513770167861, 'kdv': 0.013646255974932523, 'boundary': 0.013261506795215164, 'scaling': 0.012944861304251654, 'gas': 0.01286755472534254, 'perturbatively': 0.011913029443968961, 'nucl': 0.011737954440484144, 'behaviour': 0.011376895936823853, 'parameter': 0.010726530859763397, 'operator': 0.010128939396368988, 'equations': 0.009953147624776892, 'morris': 0.009784884393914811, 'potential': 0.009784884393914811, 'loops': 0.0091021339422912, 'theory': 0.009029309385638635, 'isospectral': 0.008637087986585662, 'bre': 0.008637087986585662, 'point': 0.008585506360256855, 'real': 0.008533297592477618, 'wall': 0.008177708391713875, 'critical': 0.008095460226432984}"
131,"{'manifolds': 0.06982104158154571, 'space': 0.051600347492857954, 'hyperbolic': 0.04364901212860398, 'group': 0.038569020509535354, 'sum': 0.037127471879456087, 'wave': 0.03360717259877888, 'quantization': 0.03167227057961092, 'torsion': 0.028893121757481682, 'boundary': 0.02867054024296153, 'functions': 0.028378295869727177, 'simons': 0.026145593201364087, 'dewitt': 0.025928352365948315, 'moduli': 0.025532965009729056, 'constant': 0.024624230361909027, 'gravity': 0.024018704567111207, 'manifold': 0.022948865312801173, 'large': 0.0228339460056998, 'chern': 0.022350397753843104, 'surgery': 0.02152179913805519, 'dirac': 0.02125139367499914, 'dimensional': 0.020994090376989127, 'metric': 0.02038689661176093, 'class': 0.019705250435542596, 'wheeler': 0.018908805433155706, 'volumes': 0.018695215284068794, 'forms': 0.01854538160296773, 'equation': 0.01826758781482904, 'quantum': 0.018243039143867275, 'holonomies': 0.017455180831665796, 'topologies': 0.01709043310555114}"
149,"{'black': 0.250030998502843, 'holes': 0.176610730162465, 'moduli': 0.1303828608465588, 'solutions': 0.12760170923593558, 'dimensional': 0.126141439157747, 'gauge': 0.12601154660422467, 'supermembrane': 0.12033836958643052, 'symmetry': 0.11961928702661408, 'dilaton': 0.11696348139633247, 'charges': 0.11428058480283268, 'hole': 0.10972003862568397, 'killing': 0.10934488210342089, 'action': 0.09983198075366637, 'axion': 0.09779241049298759, 'horizon': 0.09623637683097053, 'supersymmetry': 0.09493711618813924, 'energy': 0.09335001103587362, 'brane': 0.09043387883724215, 'potential': 0.08915495982123427, 'quantum': 0.08698202087806609, 'torus': 0.08577744854385638, 'bound': 0.08331518643428179, 'superspace': 0.07842817397637422, 'charge': 0.07797564302463184, 'mechanics': 0.07680670927265729, 'metric': 0.07387432025105531, 'covariant': 0.0722794470217985, 'worldvolume': 0.07023078575002459, 'waves': 0.06735598956558027, 'entropy': 0.06723072260486139}"
152,"{'kink': 0.0857237326442674, 'matrix': 0.06926988687105576, 'soliton': 0.06517645337448016, 'bags': 0.06042524700767938, 'model': 0.050127023923498173, 'dhn': 0.04871746413161703, 'fermion': 0.048124494205682225, 'bound': 0.039181266734249494, 'fermions': 0.03863897849786474, 'states': 0.035092227034251, 'energy': 0.0347641655920798, 'rev': 0.03476063646470595, 'equation': 0.03354330001722883, 'multicritical': 0.03209443567318661, 'number': 0.03070704089028646, 'static': 0.030249648923584643, 'supersymmetry': 0.028571591267562146, 'trivial': 0.027639404973738707, 'diagonal': 0.027163902065442443, 'congurations': 0.027075805770960974, 'dimensional': 0.02683226687762954, 'bag': 0.02549841619321759, 'eld': 0.025305251714114976, 'point': 0.024832193628788593, 'case': 0.024498174629264326, 'models': 0.02421596130986485, 'stable': 0.02407647875228003, 'dirac': 0.023530564717432655, 'fermi': 0.022602640276728307, 'collective': 0.022602640276728307}"
156,"{'model': 0.06633418793171136, 'metric': 0.049535371030826524, 'eld': 0.04286147917410399, 'loop': 0.041679441491826424, 'supersymmetric': 0.040881912652011305, 'nucl': 0.039212354341928116, 'lett': 0.033902548701800365, 'order': 0.032438168534851874, 'string': 0.030982812290645596, 'black': 0.03086246384233432, 'form': 0.03036685587006381, 'case': 0.029774247398090342, 'invariance': 0.027233657443364926, 'wzw': 0.027007067026667775, 'conditions': 0.02630962383882325, 'action': 0.02514037080684362, 'conformal': 0.02506793719919687, 'hole': 0.024570156373745267, 'dilaton': 0.023690499178337807, 'exact': 0.0232727033176419, 'gauge': 0.023096537742447368, 'solution': 0.022553790007508123, 'operators': 0.021575613974772968, 'bosonic': 0.021575613974772968, 'dimensional': 0.020953797533801003, 'theory': 0.01928716344822716, 'cosh': 0.019068153745355514, 'gauged': 0.018056516220064683, 'preprint': 0.017015918811011277, 'wittens': 0.01692003687437714}"
161,"{'cyclic': 0.06380641384905893, 'rmatrix': 0.05562677949268776, 'yangbaxter': 0.04773327419500401, 'quantum': 0.04750882009802593, 'case': 0.023350680994609165, 'representations': 0.02262058786609062, 'model': 0.019254381494036646, 'group': 0.018594896203477814, 'lett': 0.017493217484808317, 'semi': 0.015802558264704086, 'representation': 0.014860957086334295, 'equation': 0.01439985156618694, 'preprint': 0.014374805259264267, 'solutions': 0.012676570963803369, 'sierra': 0.012588922332793573, 'general': 0.011954129401506072, 'interpretation': 0.011894698688315365, 'math': 0.010146317442393027, 'family': 0.009804842193433362, 'perk': 0.009804842193433362, 'symmetry': 0.009653659745386721, 'limit': 0.009449539300603285, 'contour': 0.008928439088258418, 'intertwiner': 0.008928439088258418, 'physical': 0.008343062855190217, 'braid': 0.008343062855190217, 'result': 0.00791114354172763, 'work': 0.007616062810796798, 'spectral': 0.007412256283063259, 'appears': 0.007359743955360711}"
164,"{'factor': 0.06241200258746975, 'gauge': 0.05947142305386082, 'integral': 0.05858903593577036, 'covariant': 0.04862811466681433, 'measure': 0.04429299942530102, 'spacetimes': 0.0433767274906527, 'faddeev': 0.042074648750840174, 'eld': 0.0419287766450204, 'path': 0.037677763800877756, 'loop': 0.03669095447125045, 'def': 0.03518408394856118, 'popov': 0.03454056634762864, 'jacobian': 0.03321593686510911, 'function': 0.031016208470965666, 'hetrd': 0.02847619752618103, 'det': 0.028266167436236694, 'case': 0.02759905894256262, 'eigenfunctions': 0.027355692426689754, 'walker': 0.026215306819478645, 'spacetime': 0.026105828562689518, 'vector': 0.024941108579439014, 'modes': 0.02398323273166858, 'anomalous': 0.02320175392246209, 'hetrdt': 0.022225683126571808, 'curved': 0.021991768524844746, 'elds': 0.02188989660715409, 'time': 0.02097748299359274, 'variables': 0.020587543416182172, 'etrdl': 0.019895314646520335, 'scalar': 0.019828830418259148}"
165,"{'states': 0.18477087451193847, 'string': 0.13028191445564, 'physical': 0.09475547627077938, 'gravity': 0.09150063461753667, 'ghost': 0.08587487801965285, 'state': 0.05710616324691134, 'point': 0.05246966293566212, 'momentum': 0.04673713658126253, 'number': 0.04629226133442878, 'algebra': 0.04606219364671795, 'scalar': 0.04412302855104565, 'gauge': 0.04399473323731327, 'moody': 0.04140193501404543, 'currents': 0.04116733898970553, 'level': 0.04019112410300931, 'charge': 0.03891802095511836, 'dimensional': 0.03793940797576603, 'symmetry': 0.03435533008139755, 'operator': 0.03341930120264388, 'discrete': 0.03264797990679805, 'wan': 0.0318645460900983, 'standard': 0.029516511018075425, 'ordinary': 0.029489024130229656, 'metric': 0.029310694346730285, 'model': 0.02791537035340623, 'kac': 0.02754281454694807, 'action': 0.027507013987084484, 'operators': 0.027481621742055377, 'terms': 0.027086942819497917, 'spin': 0.025738702461211557}"
