Author Id,Paper Id
26,"['9110050', '9206047', '9208021', '9212125', '9212124', '9303043', '9402053', '9407089', '9409130', '9501109', '9504085', '9705187', '9707155', '9708145', '9709078', '9803118', '9807065', '9808012', '9810034', '9810032', '9903066', '9906069', '9911232', '0005170', '0009250', '0102010', '0103029', '0106207', '0106223', '0110116', '0110081', '0203123', '0204076', '0204181', '0207012', '0211001', '0304092']"
27,"['9110057', '9209061', '9307131', '9503176', '9506192', '9703160', '9712078', '9909150', '0003053', '0009240', '0105174', '0109193', '0202152', '0209043', '0302020']"
28,"['9110057', '9409039', '9601004', '9610046', '9903037']"
29,"['9110058', '9205040', '9206052', '9211115', '9212143', '9304149', '9601123', '9607167', '9706140', '9712197', '9810026', '9810098', '9812211', '9810202', '9906219', '9909216', '9910102', '0001185', '0008071', '0008039', '0010148', '0101174', '0103051', '0104119', '0201108', '0208111', '0208202', '0211174']"
30,"['9111002', '9110015', '9112014', '0106177', '0206154']"
31,"['9108004', '9204083', '9201056', '9207094', '9206069', '9206078', '9208027', '9210065', '9301042', '9306104', '9304026', '9306122', '9307038', '9303067', '9312104', '9403054', '9403195', '9404184', '9408074', '9409111', '9409188', '9410052', '9411102', '9506101', '9503124', '9503212', '9505053', '9505186', '9507050', '9507121', '9510101', '9510169', '9510135', '9511030', '9510209', '9512219', '9601036', '9602070', '9603150', '9604030', '9603142', '9605184', '9607163', '9609122', '9609159', '9610234', '9611230', '9701162', '9703166', '9706109', '9707093', '9712028', '9709193', '9710065', '9711053', '9802150', '9803131', '9805112', '9805114', '9807080', '9807109', '9807205', '9810188', '9811048', '9812012', '9901021', '9903005', '9903224', '9905104', '9907041', '9907189', '9908142', '9909229', '9910205', '9912086', '9910245', '9912279', '0005091', '0005090', '0005120', '0006010', '0009140', '0007175', '0012054', '0106109', '0107177', '0108165', '0109096', '0109152', '0103099', '0112258', '0202056', '0211170', '0203061', '0211269', '0212247', '0301006', '0302194', '0303207', '0304079', '0304115']"
32,"['9108002', '9202055', '9207006', '9204022', '9211082', '9302067', '9307033', '9307157', '9402095', '9407104', '9601144', '9606098', '9611219', '9704014', '9706066', '0108099']"
33,"['9111002', '9112014']"
34,"['9111002', '9112014']"
35,"['9111003', '9202078', '9205043', '9207014', '9211092']"
36,"['9112010', '9201036', '9408116', '9511098', '9601011', '9603009', '9811195', '9901134', '0205090']"
37,"['9111018', '9209059', '9209010', '9409184', '9410206', '9508033', '9510093', '9602097', '9607121', '9706158', '9804026', '9904071', '9908072', '9909172', '0005067', '0011073', '0203129']"
38,"['9111018', '9209059', '9409184']"
39,"['9109019', '9209044', '9909030', '9909140']"
40,"['9111024', '9302101', '9309094', '9311047', '9405130', '9509025', '9602150', '9706187', '9810095', '9912098', '0005063', '0012053', '0101100', '0105069', '0203250']"
41,"['9110015', '9806051']"
42,"['9110015', '9111054', '9201019', '9206101', '9202086', '9206108', '9206076', '9212037', '9209111', '9210061', '9212092', '9307043', '9310126', '9312168', '9312201', '9407021', '9410006', '9410051', '9411055', '9412163', '9504121', '9504122', '9504140', '9508042', '9511162', '9511161', '9512082', '9511203', '9602099', '9605087', '9607227', '9611008', '9612220', '9702008', '9702111', '9704057', '9705093', '9710223', '9711127', '9711128', '9801202', '9804051', '9804166', '9805125', '9806050', '9809204', '9810081', '9810183', '9803041', '9902171', '9903020', '9908089', '0001169', '0012168', '0012139', '0105001', '0107186', '0112100', '0205131', '0205132', '0207101', '0211113', '0212323']"
43,"['9110015', '9203018']"
44,"['9109046', '9203028', '9204052', '9208076', '9210105', '9405100', '9602026', '9608022', '9809173', '9904073']"
45,"['9109046', '9204026']"
46,"['9109051', '9501065', '9508092', '9510159']"
47,"['9109048', '9210009', '9211097', '9203066', '9301083', '9309140', '9407025', '9501096', '9505162', '9508155', '9511222', '9510225', '9601029', '9603078', '9605200', '9606122', '9607139', '9612052', '9609071', '9706110', '9711013', '9712048', '9803015', '9802168', '9902098', '9903226', '9906070', '9912152', '0001029', '0011256', '0012136', '0103067', '0108120', '0110028', '0211017']"
48,"['9109045', '9205011', '9406132', '9609046', '9710174']"
49,"['9109045', '9206055', '9211030', '9212136', '9406132', '9501053', '9511193', '9609046', '9610043', '9705190', '9712236', '0007186', '0111142', '0206117', '0210160', '0212113']"
50,"['9109038', '9408060', '9504148', '9511056', '9703163', '9712213', '9907152', '9912236', '0008149', '0103149', '0202187', '0204110']"
51,"['9109019', '9205064', '9206041', '9210009', '9503227', '9508099', '9503088', '9703212', '9707159', '9708135', '9811138', '9904082', '9906138', '9911105', '0011189']"
52,"['9109048', '9112004', '9911246', '0102172']"
53,"['9111018', '9410206', '9508033', '9510093', '9602097', '9607121', '9706158', '9908155']"
54,"['9110038', '9206080', '9308062', '9312189', '9410034', '9501129', '9506122', '9510233', '9706057', '9711039', '9903042', '0003278', '0009191', '0003068', '0106231', '0204204']"
55,"['9111018', '9609202', '9707210', '9807209']"
56,"['9109007', '9205043', '9210045', '9210046', '9309152', '9402156', '9407008', '9407031', '9409168', '9411028', '9506138', '9507094', '9510017', '9510169', '9511157', '9510227', '9601038', '9602052', '9605184', '9606165', '9607050', '9611050', '9612146', '9703031', '9704029', '9707170', '9711037', '9809022', '9812104', '9901076', '9903228', '9903165', '9911161', '0003136', '0004134', '0008076', '0009211', '0011193', '0105097', '0106014', '0109174', '0112204', '0201029', '0206228', '0209104', '0209105', '0209211', '0304042']"
57,"['9109054', '9408035', '9705137', '9710063', '9805071', '9807232', '9901093', '9905092', '0002210', '0006091', '0105307', '0208175', '0211283', '0304270']"
58,['9109054']
59,['9110001']
60,['9110001']
61,"['9110003', '9403149', '9603088', '9707050']"
62,['9110003']
63,"['9110003', '9911187']"
64,"['9111027', '9207086', '9212074', '9304015', '9304001', '9309107', '9610144', '9701145', '9901053', '9909065', '0001076', '0003119', '0010228', '0103130', '0204088']"
65,"['9111027', '9411085', '9512104', '9608091', '9803104', '9805117', '9807160', '9909031']"
66,"['9112065', '9204025', '9404071', '9410050', '9410095', '9510202', '9705001', '9708086', '9809029', '9911015', '9912160', '0002072', '0003109', '0004101', '0007177', '0003045', '0012100', '0101198', '0104262', '0107108', '0208037', '0208100', '0304262']"
67,"['9111030', '0001076']"
68,['9109051']
69,"['9110001', '0111280']"
70,"['9108006', '9305034', '9401094', '9602073', '9608054', '9609104', '9707095', '9712180', '9803127', '9804164', '0001161', '0005123', '0005178', '0012270', '0101208', '0201130', '0203032', '0209220']"
71,"['9112017', '9208058', '9212100', '9412062', '9809052', '9901145', '9905103', '9910218', '0211174']"
72,['9112017']
73,"['9112020', '9204057', '9204056', '9206092', '9206093', '9206094', '9210036', '9203056', '9302026', '9602122', '9604040']"
74,"['9112020', '9203082']"
75,"['9112020', '9203082', '9304068', '9305155', '9711008', '9805165', '9807216']"
76,"['9112033', '9207109', '9209051', '9208064']"
77,"['9112033', '9207109', '9208064', '9309040', '9405146', '9607131', '9907131', '0003242', '0007075', '0010196', '0104126', '0105216', '0108234', '0203173']"
78,"['9112033', '9207109', '9208064', '9608030', '9612247']"
79,['9112033']
80,"['9112036', '9210010', '9302086', '9303164', '9311137', '9406020', '9607064', '9810113', '0002023', '0106194', '0212084', '0210302']"
81,"['9112036', '9302086', '9303164', '9307092', '9504005', '9709178', '9809153']"
82,"['9112036', '9302086', '9303164', '9311137', '9812035', '9904017', '9906194']"
83,['9112043']
84,"['9112043', '9205087', '9210157', '9302064', '9601096', '9707056', '0011137', '0012098']"
85,"['9112045', '9204026', '9312124', '9412242', '9503232', '9508100', '9512189', '9607106', '9608196', '9612218', '9704076', '9712043', '9712182', '9801117', '9808053', '9812244', '9901164', '9903149', '9912016', '9912281', '9912154', '0007049', '0007020', '0009144', '0012200', '0103049', '0103196', '0106213', '0108118', '0109209', '0204073', '0204155', '0209186', '0211041']"
86,"['9112055', '9610084', '9907171']"
87,['9111038']
88,"['9111038', '9206078', '9301005', '9806016', '0005074', '0009225', '0109096', '0210030', '0302122']"
89,"['9112062', '9203025', '9311148', '9405196', '9609238']"
90,"['9112065', '9309075', '9312172', '9507143', '9702109']"
91,"['9112010', '9206014', '9305003', '9406056', '9410157', '9505075', '9606112', '9611063', '9612131', '9702173', '9703100', '9702154', '9706082', '9712035', '9708044', '9711143', '9801060', '9803167', '9806021', '9809106', '9809173', '9810186', '9803050', '9803051', '9901088', '9903186', '9905148', '9907206', '9909215', '9910090', '0004011', '0004009', '0005242', '0007215', '0008172', '0009112', '0011288', '0012222', '0106187', '0106255', '0203052', '0207223', '0208078', '0203092', '0211147', '0211261', '0212147', '0303001', '0304103']"
92,"['9112010', '9206014', '9207024', '9211059', '9305003', '9405039', '9408116', '9409175', '9506002']"
93,"['9111031', '9112062', '9109027', '9212057', '9311148', '9403133', '9405196', '9503162', '9605046', '9605211', '9701144', '0002102', '0007115', '0207188', '0212272']"
94,"['9111031', '9109027', '9802119', '0107124', '0204115']"
95,"['9111031', '9109027', '9401075', '9406016', '9502153', '9711080']"
96,"['9111035', '9203061', '9304011', '9308052', '9310026', '9402107', '9403058', '9404025', '9411210', '9602154', '9603167', '9605033', '9606082', '9609017', '9610237', '9611176', '9707250', '9708086', '9709193', '9710230', '9710198', '9712062', '9802185', '9804104', '9807056', '9807087', '9808131', '9811214', '9812055', '9903267', '9903163', '9904217', '9911206', '9912279', '0005003', '0005091', '0005090', '0009030', '0009148', '0010108', '0012007', '0012104', '0101199', '0105038', '0108100', '0108152', '0111069', '0111154', '0202087', '0204168', '0206092', '0206182', '0212059', '0304018']"
97,"['9111035', '9402119', '9412236', '9508107', '9601108', '9608129', '9810201', '9905036', '9910248', '0009042']"
98,"['9111035', '9301121', '9307085', '9402107', '9411210', '9412110', '9611202', '9705188', '9708022', '9805191', '9902059', '9907144', '9907145', '0002002', '0006159', '0006239', '0008186', '0012217', '0101058', '0105006', '0106067', '0111222', '0111278', '0205221', '0207111', '0212166', '0303173']"
99,"['9111036', '9201035', '9312042', '9401117', '9411160', '9505091', '9603010', '9606068', '9612099', '0209071', '0210154', '0304052']"
100,"['9111036', '9205064', '9301084', '9311013', '9402144', '9404050', '9603010', '9606068', '9612217', '9612099', '9703055', '9712254', '0002207', '0109208']"
101,['9111038']
102,"['9112062', '9311148', '9405196']"
103,"['9111049', '9201065', '9201066', '9207063', '9208081', '9303090', '9304010', '9307154', '9307116', '9409009', '9504150', '9509143', '9603206', '9603173', '9606157', '9802004', '9910095', '9912043', '0004188', '0009023', '0012182', '0101042', '0107204', '0108133', '0108179', '0109087', '0112244', '0203142', '0204214', '0208127', '0209232', '0210205', '0211103', '0212175', '0302028']"
104,"['9111049', '9201065', '9201066', '9202080', '9203002', '9207063', '9208056', '9301027']"
105,"['9111054', '9206076', '9211014', '9406214', '9408049', '9704126', '9704119', '9802070']"
106,['9111054']
107,['9111056']
108,"['9109046', '9209024', '9208058', '9305042', '0004133']"
109,['9109053']
110,"['9110037', '9205027', '9402115', '9405187', '9408023', '9410082', '9411111', '9502069', '9503097', '9507022', '9510119', '9511115', '9601083', '9611161', '9801073', '9811141', '9904120', '9907124', '9910021', '0001071', '0006179', '0011225', '0104073', '0106179', '0106241', '0107176', '0110089', '0110195', '0206088', '0202017', '0205121', '0205259', '0208157', '0208156', '0211048', '0301240', '0304225']"
111,"['9110005', '9304081', '9806026', '9812013', '9910247', '0209249']"
112,"['9112048', '9204082', '9301004', '9306153', '9601080', '0002136', '0201220']"
113,"['9108023', '9209034', '9412199', '9412108', '9504074', '9512032', '9509121', '9509119', '9509126', '9611067', '9903176']"
114,"['9110005', '9309106', '9610057', '9703028', '9809033', '9902058', '0107160', '0112008', '0203207']"
115,"['9111048', '9304088', '9311129', '9312127', '9401129', '9504076', '9509161', '9510204', '9602049', '9612102', '9706194', '9709114', '9810224', '9901135']"
116,"['9110008', '9205046', '9404114', '9405002', '0012213']"
117,['9111064']
118,"['9111048', '9403198', '9407087', '9408155', '9408099', '9411149', '9503179', '9506084', '9509066', '9511154', '9510222', '9603003', '9603042', '9605036', '9607207', '9703110', '9702198', '9705190', '9707079', '9712117', '9806194', '9903219', '0005015', '0005040']"
119,"['9111056', '9202085']"
120,"['9108023', '9209034', '9509119', '9509121', '9509134', '9611067', '9710088', '9806136']"
121,"['9108023', '9209034', '9512032', '9509119', '9509121', '9509126', '0002192', '0004063', '0006066', '0107220']"
122,"['9109053', '9202046', '9303003', '9303175', '9312025', '9504006', '9510022', '9903028']"
123,['9109053']
124,"['9110009', '9203012', '9204096', '9205107', '9206077', '9207103', '9209013', '9512133', '9704169', '9706125', '9709049', '9711163', '9803262', '9804084', '9805120', '9808172', '9811133', '9812141', '9902190', '9906148', '9907141', '9909068', '0012216', '0105206', '0108094', '0206087']"
125,"['9110009', '9701140']"
126,"['9110009', '9212114']"
127,"['9109035', '9205072', '9304098', '9306145', '9311128', '9410010', '9909114', '0108035']"
128,"['9109040', '9508071', '9605136', '9605199', '9606026', '9608197', '9612157', '9703218', '9702187', '9706168', '9703052', '9710231', '9804170', '9808016', '9811194', '9812237', '9906126', '9903019', '9904008', '9906038', '9910164', '9911067', '9911068', '0007206', '0106276', '0303252']"
129,"['9109040', '9207045', '9210047', '9508071', '9601175', '9605136', '9608197', '9609051', '9705057', '9712166', '9805007', '9806124', '9810021', '9903019', '9903212', '9906246', '9909020', '0002047', '0001157', '0003175', '0007206', '0106276', '0107263', '0107259', '0111235', '0201256', '0303076', '0303252']"
130,"['9109040', '9201017', '9402044', '9408013', '9506077', '9605199', '9605184', '9606017', '9607163', '9608111', '9608086', '9609070', '9609161', '9610251', '9612157', '9702187', '9704089', '9705057', '9705117', '9705221', '9703052', '9707158', '9708085', '9710009', '9802144', '9803179', '9806074', '9808149', '9903224', '9904142', '9912072', '9908142', '0006062', '0002186', '0008013', '0105038', '0108100', '0108152', '0108187', '0201039', '0204168', '0206182', '0211170', '0212225', '0301006', '0303207']"
131,"['9109006', '9206103', '9205022']"
132,"['9109035', '9207004']"
133,"['9201025', '9210130']"
134,"['9201028', '9209042', '9209043', '9212060', '9304106', '9402074', '9404185', '9407055', '9408119', '9511040', '9608063', '0106123', '0202067']"
135,"['9201026', '9203039', '9205034', '9207027', '9211088', '9212109', '9302035', '9304132', '9305043', '9308134', '9310116', '9312040', '9403026', '9405136', '9408042', '9408076', '9408069', '9505047', '9601034', '9605105', '9606151', '9707107', '9811108', '9810172', '9903218', '9910235', '9911008', '9912089']"
136,"['9201026', '9304132', '9305151', '9705005', '9712070', '9807085', '0005111', '0009002', '0104143', '0105175', '0107007', '0106027', '0202030', '0204260']"
137,"['9201027', '9210124', '9307037', '9307176', '9508030', '9510064', '9609116', '9703176', '9805051', '0009221']"
138,"['9201027', '9210124', '9402093', '9407076', '9702106', '9702054', '9704032', '9709192', '9711132', '9710176', '9712139', '9807155', '9812105', '9901161', '9903172', '9905057', '0002221', '0007152']"
139,"['9201027', '9210124', '9307037', '9505149', '9508030', '9509061', '9610224', '9704065', '9708094', '9709068', '9805160', '9905118', '9912177', '0110096', '0212139', '0303193']"
140,"['9201028', '9409082', '9409083', '9511226', '9804181', '9805011', '0211017']"
141,"['9201080', '9303045', '9401084', '9411138', '9510174', '9612029', '9712249']"
142,"['9201030', '9201024', '9206096', '9207061', '9212086', '9302125', '9304080', '9304152', '9307064', '9307147', '9308086', '9312144', '9411036', '9412127', '9509096', '9512105', '9606066', '9902141', '9903168', '9905079', '0010168', '0208175', '0211277']"
143,"['9201030', '9201024', '9206096', '9207061', '9211029', '9212086', '9302125', '9304080', '9304152', '9307064', '9307147', '9308086', '9408104', '9509096', '9803234', '0002173', '0007116', '0007169', '0010257', '0011187', '0107056', '0109117', '0201047', '0205228', '0212046']"
144,"['9201080', '9906139']"
145,"['9202060', '9203024', '9201050', '9212117', '9301099']"
146,"['9203003', '9211053', '9212119', '9306103', '9303108', '9306044', '9306028', '9308057', '9310130', '9403049', '9405128', '9409076', '9410117', '9503227', '9503011', '9507010', '9508099', '9603011', '9601113', '9609080', '9705180', '9707159', '9709028', '9806184', '9902075', '9902151', '9907039', '9903072', '0002225', '0107082', '0203063', '0209154', '0302056']"
147,"['9202001', '0106124', '0201240']"
148,"['9201025', '9209108', '9210130']"
149,"['9201029', '9205027', '9209116', '9211015', '9306095', '9302109', '9303106', '9306085', '9401025', '9406009', '9406093', '9406059', '9502069', '9503029', '9505116', '9506113', '9507022', '9508072', '9509102', '9511115', '9601010', '9602014', '9602136', '9604193', '9606093', '9607108', '9607077', '9608059', '9610155', '9603090', '9611161', '9611094', '9611162', '9612004', '9702103', '9705118', '9705056', '9709069', '9709202', '9711161', '9804099', '9807206', '9812066', '9812087', '9812114', '9902007', '9901095', '9905112', '9906195', '9907124', '9910021', '9912053', '0001071', '0006179', '0007044', '0010271', '0011225', '0012110', '0104056', '0104073', '0106241', '0107097', '0109168', '0110089', '0110271', '0203019', '0205315', '0208157', '0208156', '0301240', '0304225']"
150,"['9201025', '9209108', '9210130']"
151,"['9201038', '9304125', '9503141', '9511089', '9604104', '9803129', '9808158', '0007095', '0107150']"
152,"['9201037', '9212069', '9304059', '9404143', '9408120', '9411040', '9503073', '9706012', '9912195', '0109043', '0109045', '0201078', '0209108']"
153,"['9202060', '9203024', '9205054', '9209067', '9209111', '9212117', '9301099', '9304115', '9308114', '9309041', '9311084', '9402133', '9410006', '9410005', '9504121']"
154,"['9201038', '9304125', '9307190', '9607110', '9611118', '9704027', '9709143', '9802077', '9811090', '9906116', '0003247', '0007199', '0008196']"
155,"['9201038', '9206113', '9304125', '9307190', '9408065']"
156,['9201039']
157,"['9201040', '9511033', '9711100', '9805119', '9807066', '9905043', '0106051', '0203276']"
158,"['9201040', '9202062', '9202015', '9201056', '9206084', '9307088', '9309027', '9311009', '9408053', '9409015', '9411047', '9507038', '9511077', '9605075', '9606153', '9701015', '9705038', '9705241', '9707051', '9709013', '9711087', '9801205', '9804210', '9805220', '9812028', '9812209', '9907164', '9912249', '0002127', '0002211', '0005036', '0006240', '0007153', '0008231', '0008227', '0009246', '0010190', '0011226', '0012251', '0102112', '0105058', '0105168', '0106010', '0111281', '0111129', '0111153', '0202087', '0202151', '0201159', '0207107']"
159,"['9201042', '9201043']"
160,"['9201038', '9206113', '9210037', '9211094', '9304125', '9307190', '9312049', '9408065', '9410203', '9708160', '9808096', '9907050', '9910046', '9910112', '9912173', '0007045', '0111252', '0212006']"
161,['9201031']
162,"['9201030', '9201024', '9206096', '9207061', '9302125', '9304152', '9307064', '9307147', '9308086', '9312144', '9407017', '9407112', '9408104', '9509096', '9902141', '9905079', '0002173', '0007116', '0007169', '0010257', '0011187', '0107056', '0109117', '0201047', '0205228', '0212046']"
163,['9201030']
164,"['9201022', '9203049']"
165,"['9201023', '9202060', '9203024', '9201050', '9204038', '9204093', '9205054', '9209067', '9209111', '9211051', '9212017', '9212117', '9302073', '9301099', '9304115', '9308114', '9309041', '9309125', '9311084', '9401007', '9402133', '9404170', '9410006', '9410005', '9411101', '9502108', '9503158', '9503159', '9504121', '9504122', '9508042', '9511162', '9511161', '9511203', '9512012', '9512153', '9601089', '9602140', '9604058', '9603037', '9604052', '9605077', '9605082', '9606047', '9607027', '9607164', '9608173', '9610107', '9611079', '9611134', '9612224', '9702086', '9702058', '9701177', '9703012', '9704186', '9708055', '9707207', '9707182', '9708109', '9710119', '9711089', '9710155', '9710244', '9710243', '9803061', '9803259', '9805151', '9806106', '9807006', '9807173', '9807051', '9810159', '9811107', '9810123', '9901002', '9903057', '9903001', '9901115', '9903214', '9905096', '9905161', '9906168', '9906221', '9907202', '9909099', '9909121', '9909184', '9909203', '9910252', '0001002', '0002056', '0002054', '0002099', '0003103', '0003286', '0004201', '0005137', '0005172', '0005246', '0007109', '0007209', '0008050', '0009183', '0011167', '0011023', '0012011', '0101096', '0103155', '0102185', '0105096', '0106026', '0106162', '0108191', '0108245', '0111096', '0110238', '0112138', '0112098', '0203229', '0204064', '0206151', '0208031', '0209193', '0203060', '0203082', '0212037', '0212323', '0304132']"
166,"['9201024', '9209006', '9302125', '9304080', '9304152', '9307064', '9307147', '9308086', '9401058', '9407017', '9407112', '9408104', '9501018', '9503211', '9509096', '9602068', '9607234', '9608107', '9704119', '9902141', '9905079', '0104092', '0107056']"
167,"['9202061', '9209105', '9309146', '9510071', '9605220', '9609233', '9803024', '9907171', '9909174']"
168,"['9202058', '9207009', '9207010', '9703065', '9712227', '9905103']"
169,['9202052']
170,['9202052']
171,['9202052']
172,"['9202053', '9202054', '9202063', '9202079', '9205038', '9203079', '9404019', '9412073', '9601054', '9605128', '9603083', '9701136', '9911230']"
173,"['9202059', '9212045', '9211110', '9301033', '9305064', '9307158', '9405024', '9504034', '9504143', '9510079', '9511108', '9512006', '9604077', '9604062', '9608012', '9706211', '9707222', '9708075', '9703076', '9811224', '9906048', '9912152', '0004095', '0106244', '0207026', '0209064']"
174,['9202053']
175,"['9202054', '9202063', '9202079', '9203079', '9304126', '9304164', '9910131']"
176,"['9202054', '9202076', '9202079', '9202022', '9203041', '9203079', '9703174', '9712148', '9710191', '9801022', '9808191', '9808192', '9809161', '9904016', '9903166', '9910146', '0002009', '0003056', '0003285', '0006137', '0009018', '0104050', '0106073', '0106097', '0112090', '0201031', '0209079', '0212043', '0303185']"
177,"['9202056', '9305050', '9305049', '9310005', '9310006', '9406043', '9512217', '9606022', '9609227', '9806198', '9902204', '0003048', '0106003']"
178,"['9202056', '9204074']"
179,"['9202057', '9206046', '9207047', '9210109', '9303153', '9309044', '9310095', '9404192', '9411054', '9503077', '9705047', '9703073', '9804141', '9806189', '9810211', '9902157', '9907064', '0007043', '0010264', '0102157', '0103013', '0106011', '0106072', '0112141', '0201070', '0206013', '0304135']"
180,"['9202058', '9207009', '9207010', '9210143', '9302039', '9310076', '9405049', '9503165', '9507144', '9602073', '9603002', '9608054', '9609104', '9603073', '9703180', '9708017', '9712018', '9803126', '9807183', '9811002', '9906023', '9910047', '0105012', '0204009', '0209004', '0210067', '0302127']"
181,['9202051']
182,"['9202070', '9906139', '0107118']"
183,"['9201032', '9205024']"
184,"['9202052', '9405115', '9509125', '9511078', '9611123']"
185,['9202062']
186,"['9202052', '9511078']"
187,"['9202052', '9201048', '9304032', '9404193', '9509019', '0103023', '0203259']"
188,"['9202064', '9202038', '9609202', '9710091', '9901073', '9912285', '0008118']"
