Paper Id,Author Id
9206111,"['3', '0', '2', '310', '324']"
9206110,"['3', '0', '3', '15', '9']"
9206101,"['3', '0', '4', '42']"
9206102,"['3', '0', '5']"
9206103,"['1', '3', '1']"
9206104,"['3', '0', '6', '307']"
9206105,"['3', '0', '8']"
9206106,"['3', '0', '9', '311', '312', '203']"
9206107,"['3', '1', '3', '532']"
9207005,"['3', '1', '4', '315', '328']"
9207004,"['3', '1', '6', '132']"
9204088,"['3', '1', '8', '513']"
9204089,"['3', '1', '9', '651', '982']"
9206112,"['3', '2', '0', '321']"
9206113,"['1', '5', '5', '160']"
9206114,"['2', '7', '5', '276']"
9207001,"['3', '2', '2']"
9207002,"['3', '2', '3', '325']"
9202024,"['3', '3', '0', '391']"
9202009,"['3', '3', '1', '371', '372', '373']"
9202074,"['3', '3', '2']"
9202075,"['3', '3', '3', '334']"
9202076,"['1', '7', '6']"
9202077,"['3', '3', '5', '336']"
9202084,"['3', '3', '7', '342', '350']"
9202078,"['3', '5']"
9202079,"['1', '7', '5', '176', '172']"
9202080,"['3', '3', '8', '104']"
9202081,"['3', '3', '9']"
9202082,"['3', '4', '0', '341']"
9202083,"['3', '4', '2', '350']"
9202073,"['3', '4', '3', '345']"
9202086,"['4', '2']"
9202087,"['3', '4', '6', '347']"
9202089,"['3', '4', '8', '349', '351', '359']"
9202090,"['3', '5', '2']"
9202092,"['3', '5', '3', '354', '355']"
9203001,"['3', '5', '6']"
9203002,"['1', '0', '4', '357']"
9202071,"['3', '6', '0']"
9202012,"['3', '6', '2', '377', '383']"
9202002,"['3', '6', '4', '218']"
9202003,"['2', '2', '5', '226']"
9202004,"['3', '6', '5', '4']"
9202005,"['3', '6', '6']"
9202011,"['3', '6', '7', '375']"
9202007,"['3', '6', '8', '369', '218']"
9202008,"['3', '7', '0']"
9202010,"['2', '6', '3']"
9202018,"['3', '7', '6', '385', '386']"
9202013,"['3', '7', '8']"
9202014,"['3', '7', '9', '380']"
9202015,"['1', '5', '8']"
9202016,"['3', '8', '1', '382']"
9202017,"['3', '8', '4']"
9202019,"['3', '8', '7']"
9202020,"['3', '8', '8']"
9202021,"['3', '8', '9']"
9202022,"['1', '7', '6']"
9202023,"['3', '9', '0', '386']"
9201077,"['3', '9', '2']"
9204026,"['4', '5', '85']"
9204057,"['3', '9', '4', '73']"
9204058,"['3', '9', '5']"
9204059,"['3', '9', '6', '397']"
9204054,"['2', '5', '8', '408', '255', '447', '254']"
9204060,"['3', '9', '8', '406']"
9204061,"['3', '9', '9', '400']"
9204062,"['4', '0', '1']"
9204063,"['3', '1', '6']"
9204064,"['4', '0', '2', '403', '404', '405', '407']"
9204056,"['7', '3', '394']"
9204003,"['4', '0', '9', '512', '618', '619']"
9203026,"['4', '1', '0']"
9203027,"['4', '1', '1']"
9203028,"['4', '4']"
9203029,"['4', '1', '2', '413']"
9203030,"['4', '1', '4', '415']"
9203031,"['3', '7', '0']"
9203032,"['4', '1', '6']"
9203033,"['2', '3', '8']"
9203034,"['4', '1', '7']"
9203035,"['4', '1', '8', '419']"
9203036,"['4', '2', '0', '495']"
9204002,"['4', '2', '1', '423']"
9203004,"['4', '2', '2', '465', '466', '514']"
9204055,"['4', '2', '4']"
9203025,"['4', '2', '5', '89', '486']"
9204044,"['4', '2', '6', '442']"
9204078,"['4', '2', '7']"
9204079,"['4', '2', '8', '429']"
9204080,"['4', '3', '0', '431', '432', '433']"
9204077,"['4', '3', '4', '441']"
9204081,"['4', '3', '4']"
9204082,"['1', '1', '2', '452']"
9204083,"['3', '1']"
9204084,"['4', '3', '5']"
9204085,"['4', '3', '6', '437']"
9204086,"['4', '3', '8', '439', '440']"
9204066,"['3', '0', '6']"
9204043,"['4', '4', '3', '448']"
9204045,"['4', '4', '4', '442', '426']"
9204046,"['2', '1']"
9204047,"['4', '4', '5']"
9204048,"['4', '4', '6', '445']"
9204049,"['2', '0', '19']"
9204050,"['4', '4', '8', '443']"
9204051,"['4', '4', '9']"
9204052,"['2', '4', '3', '44']"
9204053,"['4', '5', '0']"
9204065,"['4', '5', '1', '510']"
9203024,"['1', '5', '3', '145', '2', '165']"
9203013,"['4', '5', '3', '463', '482', '498']"
9203018,"['4', '3']"
9203020,"['4', '5', '4']"
9203021,"['4', '5', '1', '455']"
9203022,"['4', '5', '6', '457', '458']"
9203023,"['4', '5', '9', '460', '462', '505']"
9203019,"['4', '6', '1']"
9203012,"['4', '6', '4', '124', '503']"
9203005,"['4', '6', '7', '469']"
9203017,"['4', '6', '8']"
9203016,"['4', '7', '0', '485']"
9203015,"['4', '7', '1', '442']"
9203071,"['4', '7', '2', '473', '480']"
9203072,"['4', '7', '4']"
9203073,"['4', '7', '5']"
9203074,"['4', '7', '6']"
9203075,"['3', '4', '8', '477']"
9203076,"['4', '7', '8']"
9203077,"['4', '7', '9']"
9203044,"['4', '8', '1', '213', '212', '211']"
9203014,"['4', '8', '3', '484']"
9203006,"['4', '8', '7', '488', '496']"
9203040,"['3', '8', '6', '385', '376']"
9203041,"['4', '8', '9', '176']"
9203038,"['4', '9', '0', '506', '507']"
9203042,"['3', '6', '5', '491', '4', '492']"
9203043,"['2', '1', '0', '211', '212', '213']"
9203037,"['4', '9', '3', '494']"
9203039,"['1', '3', '5', '508']"
9203007,"['4', '9', '7', '499']"
9203008,"['5', '0', '0', '504']"
9203009,"['5', '0', '1', '239', '240']"
9203010,"['3', '0', '2']"
9203011,"['5', '0', '2']"
9201076,"['5', '0', '9']"
9204076,"['2', '8', '1', '570', '595']"
9204032,"['1', '2', '7', '525']"
9204033,"['5', '1', '1']"
9201053,"['5', '1', '6']"
9201054,"['5', '1', '7']"
9201055,"['5', '1', '8', '253']"
9201056,"['3', '1', '158']"
9201057,"['5', '1', '9']"
9201058,"['5', '2', '0', '522']"
9201052,"['5', '2', '1', '563']"
9201059,"['5', '2', '3', '524', '561']"
9204031,"['5', '2', '6', '540']"
9204039,"['5', '2', '7', '592', '593']"
9204035,"['5', '2', '8', '529', '603', '604', '610']"
9204034,"['5', '3', '0']"
9204025,"['6', '6', '531']"
9204027,"['5', '3', '3']"
9204028,"['5', '3', '4', '535', '536', '537']"
9204029,"['5', '3', '8']"
9204030,"['4', '7', '2', '480', '539']"
9204041,"['5', '4', '1', '571', '572', '600']"
9201060,"['5', '4', '2', '556']"
9201061,"['5', '4', '3', '558', '559', '560']"
9201050,"['1', '4', '5', '544', '165', '2']"
9201051,"['5', '4', '5', '477', '454', '567']"
9201048,"['5', '4', '6', '557', '187', '201', '568']"
9201044,"['3', '2', '3', '325']"
9201071,"['5', '4', '9', '550', '551']"
9201072,"['4', '5', '0']"
9201073,"['5', '5', '2']"
9201074,"['2', '3', '7', '553', '554']"
9201045,"['5', '6', '4', '565']"
9201046,"['5', '6', '4', '565']"
9201047,"['5', '6', '6']"
9201049,"['5', '6', '9']"
9204040,"['5', '7', '2', '610', '611']"
9204013,"['5', '7', '3']"
9204014,"['4', '2', '4']"
9204015,"['5', '7', '4', '575', '576']"
9204016,"['5', '7', '7', '578', '579']"
9204012,"['5', '8', '0', '616', '624']"
9204017,"['5', '8', '1', '613']"
9204018,"['5', '8', '2', '583']"
9204019,"['5', '8', '4', '585']"
9204020,"['5', '8', '6', '587']"
9204042,"['5', '8', '8']"
9204021,"['4', '3', '0']"
9204075,"['5', '7', '0', '281', '595']"
9204067,"['5', '8', '9', '590']"
9204068,"['4', '0', '3', '405']"
9204069,"['5', '9', '1']"
9204070,"['5', '9', '2', '593']"
9204071,"['5', '9', '4', '577', '599']"
9204072,"['3', '6', '5', '596']"
9204073,"['5', '9', '7']"
9204074,"['5', '9', '8', '178']"
9204022,"['6', '0', '1', '32']"
9204023,"['5', '7', '7', '578']"
9204024,"['6', '0', '2']"
9204036,"['6', '0', '5']"
9204037,"['6', '0', '6', '607', '608', '609']"
9204038,"['2', '165']"
9204007,"['6', '1', '2', '625']"
9204011,"['6', '1', '4', '617']"
9204010,"['6', '1', '5', '629', '630']"
9204004,"['6', '2', '0', '621', '622', '623']"
9204006,"['3', '5', '4', '355']"
9204008,"['6', '2', '6']"
9204009,"['6', '2', '7', '208', '628']"
9206108,"['4', '2', '236']"
9206060,"['6', '3', '1', '881', '913', '461']"
9206109,"['6', '3', '2']"
9204096,"['4', '6', '4', '503', '124']"
9204097,"['4', '3', '4']"
9204098,"['4', '3', '4']"
9204095,"['6', '3', '3', '644', '645', '659']"
9205006,"['6', '3', '4']"
9205007,"['6', '3', '5']"
9205008,"['6', '3', '6']"
9205021,"['6', '3', '7', '643']"
9205023,"['6', '3', '8', '639', '640', '641']"
9205024,"['1', '8', '3']"
9205025,"['6', '4', '2', '660', '679']"
9205022,"['1', '3', '1']"
9205004,"['2', '8', '2', '290']"
9205005,"['6', '4', '6', '648']"
9205001,"['6', '4', '7', '728']"
9204099,"['6', '4', '9', '650', '657']"
9206059,"['6', '5', '2']"
9204090,"['6', '5', '3', '654']"
9204091,"['6', '5', '5']"
9204092,"['6', '5', '6']"
9204093,"['1', '6', '5']"
9204094,"['3', '6', '7', '658']"
9205026,"['2', '9', '6', '305']"
9205027,"['1', '4', '9', '110', '675', '676', '677', '678']"
9205014,"['6', '6', '1']"
9205015,"['4', '7', '2', '662', '663']"
9205016,"['6', '6', '4']"
9205017,"['3', '9', '1', '330']"
9205029,"['1', '9', '1', '718']"
9205082,"['6', '6', '5', '666', '833']"
9205018,"['6', '4', '8']"
9206028,"['6', '6', '7', '668', '669', '670']"
9206029,"['6', '7', '1', '672', '713']"
9205013,"['6', '7', '3']"
9205012,"['6', '7', '4', '196', '686', '687']"
9205020,"['2', '8', '0', '295']"
9205019,"['3', '0', '6']"
9205009,"['6', '8', '0', '681']"
9205010,"['6', '8', '2', '683']"
9205011,"['4', '8', '684', '685']"
9205003,"['6', '8', '8', '689']"
9205002,"['6', '9', '0', '729']"
9205055,"['4', '0', '5', '691', '701', '404']"
9205069,"['5', '1', '6']"
9205070,"['6', '9', '2']"
9205071,"['6', '9', '3', '694', '695', '696']"
9205072,"['1', '2', '7']"
9205073,"['5', '0', '1', '697']"
9205068,"['6', '9', '2']"
9205074,"['6', '9', '8', '715']"
9205076,"['6', '9', '9']"
9205077,"['5', '6', '2', '700', '548']"
9205078,"['3', '1', '0']"
9205037,"['7', '0', '2', '707']"
9205041,"['7', '0', '3', '711']"
9205043,"['5', '6', '35']"
9205031,"['7', '0', '4', '705']"
9205032,"['6', '5', '2']"
9205033,"['6', '4', '2', '679']"
9205034,"['1', '3', '5']"
9205035,"['5', '6', '5']"
9205036,"['7', '0', '6']"
9205038,"['1', '7', '2']"
9205039,"['7', '0', '8', '709', '710']"
9205040,"['2', '9']"
9205042,"['7', '1', '2']"
9205079,"['7', '1', '4']"
9205066,"['7', '1', '6', '733', '734']"
9205030,"['7', '1', '7']"
9205081,"['5', '6', '4']"
9205028,"['3', '3', '4']"
9204100,"['7', '1', '9', '720', '726']"
9204101,"['6', '2', '6', '721']"
9204102,"['7', '2', '2', '723', '724', '725']"
9204103,"['7', '2', '7']"
9205065,"['3', '9', '2']"
9205080,"['7', '3', '0']"
9205064,"['5', '1', '100']"
9205063,"['7', '3', '1']"
9205067,"['7', '3', '2']"
9205056,"['7', '3', '5', '736', '737']"
9205057,"['7', '3', '8']"
9205058,"['2', '3', '8']"
9205059,"['7', '3', '9', '740']"
9205060,"['7', '4', '1', '742']"
9205061,"['1', '7', '743']"
9205062,"['6', '1', '4', '744', '745']"
9206030,"['4', '1', '7']"
9206027,"['7', '4', '6', '800', '813']"
9206031,"['5', '1', '9', '811']"
9205087,"['7', '4', '7', '84']"
9205088,"['7', '4', '8']"
9205089,"['2', '7', '8', '749']"
9205090,"['1', '4']"
9205091,"['5', '6', '4']"
9205092,"['6', '4', '8', '657', '750']"
9205093,"['1', '9', '5', '196', '751']"
9205094,"['7', '5', '2', '756']"
9205095,"['7', '5', '3']"
9205111,"['7', '5', '4']"
9205112,"['7', '3', '0']"
9205086,"['7', '5', '5']"
9205085,"['7', '5', '7']"
9205084,"['7', '5', '7']"
9205102,"['7', '5', '8']"
9205103,"['2', '4', '6']"
9205104,"['3', '9', '5']"
9205098,"['1', '9', '4', '192']"
9205105,"['7', '5', '9']"
9205107,"['1', '2', '4', '503', '464']"
9205108,"['5', '6', '4']"
9205109,"['7', '6', '0', '419', '418']"
9205110,"['7', '6', '1']"
9205106,"['7', '6', '2']"
9205097,"['7', '6', '3']"
9205096,"['7', '6', '4']"
9206014,"['9', '1', '92']"
9205101,"['7', '6', '5', '242']"
9205113,"['7', '6', '6', '777', '787']"
9206004,"['2', '3', '2', '231', '191']"
9205114,"['7', '6', '7', '768', '676', '677']"
9205115,"['7', '6', '9', '770']"
9205116,"['7', '7', '1', '201', '773']"
9205117,"['7', '7', '2', '776']"
9206001,"['7', '7', '4', '419', '418']"
9206002,"['7', '7', '5', '235']"
9206003,"['7', '7', '5', '235']"
9205083,"['5', '6', '5']"
9206005,"['4', '6', '8']"
9206006,"['7', '0', '7', '702']"
9206007,"['7', '7', '8', '779', '462']"
9206008,"['7', '8', '0']"
9206009,"['7', '8', '1', '782', '783']"
9206010,"['7', '8', '4', '785']"
9206011,"['7', '8', '6']"
9206012,"['2', '4', '2']"
9206013,"['7', '8', '8', '789']"
9205044,"['7', '9', '0']"
9205099,"['2', '5', '0', '249']"
9206022,"['1', '9', '2', '194']"
9206023,"['5', '0', '4']"
9206024,"['6', '7', '1', '672', '713']"
9206025,"['7', '9', '1', '792']"
9206026,"['3', '0', '4', '793', '814']"
9206036,"['7', '9', '1', '794']"
9206037,"['7', '9', '5']"
9206048,"['7', '9', '6']"
9206049,"['7', '9', '7', '798', '799']"
9206050,"['8', '0', '1']"
9206021,"['8', '0', '2']"
9206019,"['8', '0', '3']"
9206032,"['8', '0', '4', '422', '805']"
9206033,"['8', '0', '6', '807']"
9206034,"['8', '0', '8', '809']"
9206035,"['8', '1', '0', '812']"
9206016,"['2', '1']"
9206017,"['7', '4', '4', '664']"
9206018,"['8', '1', '5', '816']"
9206020,"['8', '1', '7']"
9205100,"['8', '1', '8']"
9206051,"['6', '1', '7']"
9206052,"['8', '1', '9', '29']"
9206040,"['2', '8', '4', '829', '354']"
9206057,"['8', '2', '0', '834']"
9206041,"['7', '1', '9', '720', '51']"
9206042,"['8', '2', '1', '822', '823', '824']"
9206043,"['8', '2', '5', '826']"
9206044,"['1', '9', '2']"
9206045,"['6', '6', '6']"
9206015,"['8', '2', '7', '828']"
9206039,"['8', '3', '0', '835', '836']"
9206047,"['2', '6', '25']"
9206053,"['5', '1', '3', '318']"
9206054,"['3', '4', '8', '349', '351']"
9206055,"['4', '9', '831']"
9206056,"['8', '3', '2']"
9206046,"['1', '7', '9', '573']"
9206038,"['3', '9', '4', '622']"
9205050,"['8', '2', '5', '826']"
9205054,"['5', '4', '4', '958', '165', '153']"
9206097,"['5', '0', '6', '507', '837', '838', '839', '840', '490']"
9206098,"['8', '4', '1', '924']"
9206096,"['1', '6', '2', '143', '142', '856']"
9206092,"['7', '3', '857']"
9206091,"['8', '4', '2']"
9206090,"['2', '5', '3', '879', '518']"
9206080,"['8', '4', '3', '54', '852']"
9206081,"['8', '4', '4', '845', '846']"
9206082,"['2', '4', '9']"
9206083,"['6', '1', '6', '847', '580']"
9206066,"['8', '4', '8', '736', '849']"
9206067,"['2', '3', '8']"
9206068,"['6', '3', '8', '639', '640']"
9206065,"['8', '5', '0', '858', '886']"
9206079,"['8', '5', '1']"
9206093,"['7', '3']"
9206094,"['8', '5', '3', '73']"
9206095,"['8', '5', '4', '855', '511']"
9206085,"['8', '5', '9']"
9207084,"['8', '6', '0', '870']"
9207088,"['8', '6', '1', '869', '874']"
9207089,"['8', '6', '2', '863', '864']"
9207090,"['8', '3', '4', '865']"
9207091,"['8', '6', '6', '867']"
9207093,"['8', '6', '8']"
9207094,"['3', '1']"
9207082,"['8', '7', '1']"
9207072,"['8', '7', '2', '993', '1012', '1013']"
9207073,"['8', '7', '3', '478']"
9206084,"['1', '5', '8']"
9207087,"['6', '6', '0', '642']"
9207086,"['8', '7', '5', '64', '738']"
9206086,"['2', '3']"
9206087,"['2', '3', '876']"
9206088,"['6', '6', '1']"
9206089,"['8', '7', '7', '632', '878']"
9207026,"['8', '8', '0', '887', '888']"
9207027,"['8', '8', '2', '883', '135']"
9207085,"['8', '8', '4', '885']"
9207074,"['6', '6', '5']"
9206069,"['3', '1']"
9207025,"['7', '0', '9', '893', '895', '896', '906']"
9207023,"['8', '8', '9']"
9207008,"['4', '4', '4', '442']"
9207018,"['8', '9', '0', '898', '899', '904']"
9207017,"['4', '3', '8', '892']"
9207009,"['1', '8', '0', '168', '891']"
9207010,"['1', '8', '0', '168', '891']"
9207011,"['5', '3', '4', '535', '536', '537']"
9207012,"['8', '9', '4']"
9206100,"['1', '9', '2']"
9207019,"['9', '0', '0']"
9207020,"['5', '0', '1', '697', '901']"
9207021,"['9', '0', '2', '903']"
9207022,"['9', '0', '5']"
9207024,"['9', '2']"
9206064,"['9', '0', '7', '916']"
9207013,"['9', '0', '8', '909', '917']"
9206076,"['9', '1', '0', '42', '105']"
9206077,"['1', '2', '4', '503', '464']"
9206078,"['8', '8', '31']"
9206075,"['9', '1', '1', '918', '929']"
9206070,"['2', '3', '7', '554', '553']"
9203078,"['9', '1', '2', '1138', '1444', '1487']"
9206061,"['7', '5', '4']"
9206062,"['9', '1', '4']"
9206063,"['6', '3', '3', '915', '644']"
9207014,"['3', '5']"
9207015,"['9', '1', '9']"
9207016,"['9', '2', '0', '921']"
9206099,"['9', '2', '2', '923']"
9206071,"['9', '2', '5']"
9206072,"['9', '2', '6', '927']"
9206073,"['8', '6', '8', '928']"
9206074,"['2', '6', '5', '294']"
9207075,"['9', '3', '0', '931', '970']"
9207065,"['4', '6', '1', '932']"
9207066,"['2', '7', '3', '274']"
9207067,"['1', '9', '603', '720', '719']"
9207062,"['2', '938']"
9207068,"['9', '3', '3']"
9207069,"['3', '8', '8', '934', '935']"
9207070,"['9', '3', '6', '17']"
9207071,"['9', '3', '7', '1014']"
9207064,"['9', '3', '9']"
9207061,"['1', '6', '2', '143', '969', '142']"
9207063,"['1', '0', '4', '103']"
9207050,"['5', '9', '9', '951', '952', '594']"
9207031,"['9', '4', '0', '941', '953']"
9207032,"['9', '4', '2', '943']"
9207040,"['3', '8', '8', '935', '1003']"
9207034,"['9', '4', '4', '334']"
9207035,"['9', '4', '5', '946']"
9207036,"['9', '3', '3']"
9207037,"['9', '4', '7', '948', '949']"
9207038,"['9', '5', '0']"
9207039,"['2', '8', '1', '262']"
9207052,"['9', '5', '4']"
9205045,"['8', '9', '9', '898']"
9205046,"['9', '5', '5', '116']"
9205047,"['8', '2', '5', '826']"
9205048,"['8', '2', '5', '956']"
9205049,"['8', '2', '5', '826']"
9205051,"['5', '6', '4']"
9205052,"['5', '6', '4']"
9205053,"['9', '5', '7']"
9206058,"['5', '3', '8']"
9207051,"['9', '5', '9']"
9207056,"['4', '8', '4', '483']"
9207053,"['2', '1']"
9207054,"['9', '6', '0']"
9207055,"['9', '6', '1', '962']"
9207057,"['9', '6', '3']"
9207058,"['9', '6', '4', '965', '966']"
9207059,"['5', '2', '5', '967', '7', '12']"
9207060,"['2', '5', '0', '968']"
9207030,"['9', '7', '1']"
9207028,"['6', '3', '4']"
9207113,"['9', '7', '2', '973', '974']"
9207109,"['7', '6', '77', '78']"
9207114,"['9', '7', '5', '976', '922']"
9207115,"['9', '7', '7']"
9207116,"['9', '7', '8', '979', '980', '981']"
9207096,"['9', '8', '3', '986', '987', '994', '996']"
9207108,"['9', '8', '4']"
9207106,"['9', '8', '5']"
9207112,"['9', '7', '2']"
9207111,"['7', '1', '1', '995']"
9207110,"['9', '3', '3']"
9207076,"['9', '8', '8']"
9207083,"['8', '7', '1']"
9207077,"['2', '3', '876']"
9207078,"['5', '5', '1', '989']"
9207079,"['9', '9', '0', '643', '637']"
9207080,"['9', '9', '1']"
9207081,"['4', '1', '7', '992']"
9207095,"['8', '1', '7']"
9207029,"['9', '7', '1']"
9207098,"['9', '9', '7']"
9207044,"['9', '9', '8', '533']"
9207045,"['1', '2', '9']"
9207046,"['8', '2', '5', '826']"
9207047,"['1', '7', '9', '999']"
9207048,"['1', '0', '0', '0', '1001']"
9207049,"['1', '0', '0', '2', '607', '609', '606']"
9207042,"['9', '1', '2', '1004', '1005', '1015']"
9207097,"['9', '2', '3']"
9207099,"['9', '9', '7']"
9207100,"['1', '0', '0', '6']"
9207101,"['5', '8', '4', '1007']"
9207107,"['1', '8', '9']"
9207102,"['1', '0', '0', '8', '1009', '1016']"
9207103,"['1', '2', '4', '503', '464']"
9207104,"['8', '6', '9']"
9207105,"['1', '0', '1', '0', '1011']"
9207041,"['6', '3', '5']"
9203070,"['2', '7', '3', '298']"
9203069,"['1', '0', '1', '7', '931']"
9208034,"['1', '0', '1', '8', '1023', '1047']"
9208039,"['5', '6', '9']"
9208040,"['6', '5', '9', '915', '644', '633']"
9208041,"['1', '0', '1', '9', '1020']"
9208038,"['6', '0', '9', '1002']"
9208042,"['1', '0', '2', '1', '415']"
9208044,"['1', '0', '2', '2', '1067', '1072', '1073', '1031']"
9208033,"['3', '4', '3', '345']"
