,Paper Id,Author Id,Authors,Year,Topic Words
10,0410291,11983,A. Belhaj,2005.0,"{'eqs': 0.10963074661284758, 'moduli': 0.022392984117884283, 'singularity': 0.018298017742730655, 'complex': 0.014592333689137867, 'branch': 0.012221466613361431, 'hep': 0.01193019178601852, 'sigma': 0.01054266740176014, 'higgs': 0.010458250532250357, 'analysis': 0.010096918181487391, 'ade': 0.009091022214379029, 'dimensions': 0.00889029665110741, 'coulomb': 0.008423121400538943, 'hyperkahler': 0.008294470018763989, 'solutions': 0.00797236974961335, 'hypermultiplets': 0.007955354266261164, 'linear': 0.007922295696685809, 'invariant': 0.007590814389432135, 'vacua': 0.007443706050504327, 'study': 0.007437383666373115, 'nucl': 0.006636681000620703, 'supercharges': 0.006251852045429194, 'note': 0.006029456980620901, 'singularities': 0.006029456980620901, 'variables': 0.005684018370025433, 'cotangent': 0.0053166836273184775, 'liouville': 0.005231738692724419, 'vector': 0.004815788800596973, 'yau': 0.004815788800596973, 'splitting': 0.004815788800596973, 'comments': 0.004783070946320911, 'ale': 0.004709087399010103, 'iia': 0.004386553326229483, 'physics': 0.004252208612626068, 'coupling': 0.003838918684875567}"
11,0311097,12045,A. Berard,2004.0,"{'renormalizable': 0.05154283610089562, 'eld': 0.04046238750161413, 'interactions': 0.029865935560688353, 'coupling': 0.025670592507103185, 'continuum': 0.02172701654790185, 'phase': 0.02105979733597294, 'term': 0.020445744536472063, 'modes': 0.01933809558354305, 'particles': 0.019258289397191375, 'excitations': 0.018799606100074574, 'particle': 0.017745967378612892, 'counter': 0.01666088707191403, 'constant': 0.016579450956399237, 'mass': 0.016579450956399237, 'eective': 0.015832040474439285, 'physics': 0.015340690258180092, 'low': 0.01498341934446204, 'scalar': 0.01498341934446204, 'usual': 0.014138278031566587, 'dened': 0.01382080780777137, 'model': 0.013573547033645106, 'lim': 0.012121405039289268, 'lagrangian': 0.012081282025211637, 'limit': 0.011917494005308504, 'component': 0.011917494005308504, 'terms': 0.010708549291732705, 'dierent': 0.010235635262583882, 'vacuum': 0.01010453204701195, 'dynamics': 0.009669848749087065, 'degrees': 0.009538752519798188, 'brillouin': 0.009056560152056747, 'change': 0.009056560152056747, 'perturbation': 0.00866365095921387, 'minima': 0.00866365095921387, 'nearest': 0.008344304115437177, 'divergencies': 0.008344304115437177, 'transition': 0.008344304115437177, 'beta': 0.008344304115437177, 'propagator': 0.008303518553483743, 'choice': 0.008087659610240515, 'formalism': 0.00725841476386653, 'universality': 0.00725841476386653, 'cuto': 0.00725841476386653, 'leads': 0.00679806550921952, 'renormalized': 0.00679806550921952, 'constants': 0.006668584237885522, 'france': 0.006668584237885522, 'neighbor': 0.006503138695144989, 'manner': 0.006503138695144989, 'considered': 0.00643367923900337, 'inuence': 0.00643367923900337, 'renormalization': 0.0045395720684253404}"
12,0407090,3192,A. Borowiec,2004.0,"{'algebra': 0.15776984635033103, 'dierential': 0.09970362260496493, 'homomorphism': 0.07667531643529896, 'rnn': 0.0433866905028526, 'ideal': 0.03986931787598988, 'space': 0.03424271489396341, 'dxi': 0.03229538351014065, 'optimal': 0.029071916511358376, 'dened': 0.026597938732093547, 'proposition': 0.025200223437047004, 'dxk': 0.02331474704546875, 'commutation': 0.023137642839995975, 'prove': 0.02192226698641518, 'generators': 0.02192226698641518, 'denition': 0.018483359611853874, 'degree': 0.018334211914026385, 'proof': 0.017020613542017636, 'rule': 0.014627003657671916, 'xidxj': 0.014627003657671916, 'generated': 0.013702976653379051, 'linear': 0.013623285845386069, 'variables': 0.01238762989451814, 'ideals': 0.01238762989451814, 'partial': 0.012232977048957046, 'uniqueness': 0.011676769339678449, 'element': 0.011676769339678449, 'dierentials': 0.011646193049106815, 'rules': 0.011646193049106815, 'fnn': 0.011583265130703624, 'unique': 0.011583265130703624, 'case': 0.011583265130703624, 'ker': 0.011497703767143293, 'property': 0.010979371189133613, 'equal': 0.01096785228444782, 'dene': 0.01096785228444782, 'module': 0.010573219779375085, 'induction': 0.010225957279538168, 'denes': 0.010225957279538168, 'map': 0.008694669953564271, 'exists': 0.00863044501608082, 'kdj': 0.00863044501608082, 'homogeneous': 0.00827213826386219, 'examples': 0.00827213826386219, 'kdi': 0.008232726261208662, 'homogenous': 0.007936506088157545, 'finally': 0.007936506088157545, 'vxi': 0.007936506088157545, 'zumino': 0.007797444142794402}"
13,0604198,12882,A. C. Davis,2006.0,"{'brane': 0.09618719077768566, 'cosmological': 0.0646773439668542, 'bulk': 0.03901440905388825, 'solutions': 0.03351674537166311, 'supergravity': 0.033314444766056855, 'supersymmetry': 0.031216725639467976, 'universe': 0.0220568954009418, 'time': 0.021746182441994638, 'induced': 0.021530035893267647, 'frw': 0.020858416528501567, 'metric': 0.02031171932414831, 'matter': 0.019608850689443347, 'energy': 0.019550584794870776, 'hep': 0.018863748902468183, 'parameter': 0.016957015683859433, 'conditions': 0.01669090076319435, 'breaking': 0.015820792491501895, 'state': 0.014153698953427052, 'origin': 0.013321624883108958, 'vector': 0.013265861813633893, 'scalar': 0.012300683636526784, 'order': 0.011870533373023573, 'singular': 0.01092951127538351, 'dependent': 0.010798995313138174, 'elds': 0.010459410214924079, 'eld': 0.010459410214924079, 'rev': 0.010439627763333237, 'notice': 0.01042290320101391, 'solution': 0.01042290320101391, 'density': 0.009895402541009152, 'singularity': 0.009816665496880261, 'spaces': 0.00911095703153754, 'bps': 0.00911095703153754, 'understanding': 0.00911095703153754, 'type': 0.008643507385922435, 'uid': 0.008643507385922435, 'dimensions': 0.008355869880679628, 'tensor': 0.00782367539620715, 'introduce': 0.00782367539620715, 'broken': 0.00736861919873949, 'lagrangian': 0.007292402787691568, 'supersymmetric': 0.007088624029865355, 'dynamics': 0.006978741577737977, 'accelerating': 0.006272111349926307, 'junction': 0.006272111349926307, 'boundary': 0.00615802037072126, 'equations': 0.00615802037072126, 'appears': 0.0059451415133679394, 'acceleration': 0.0057201266664893315, 'condition': 0.005473847981618048, 'breaks': 0.005238406737308055}"
14,0607180,12168,A. C. R. Mendes,2007.0,"{'turbulence': 0.06934608778856674, 'turbulent': 0.047500993498123235, 'dirac': 0.04658667510849308, 'constraints': 0.030631941871185276, 'rst': 0.025037676119043506, 'brackets': 0.022539577574125357, 'jackiw': 0.021816971818903148, 'metauid': 0.018774522187641668, 'density': 0.018774522187641668, 'study': 0.018644164308632805, 'incompressible': 0.016892537571557845, 'constraint': 0.016096273746149692, 'dynamics': 0.01605603533187628, 'mechanics': 0.013845474712116945, 'quantization': 0.013520773593793391, 'york': 0.013520773593793391, 'sympletic': 0.012524978650480974, 'inertial': 0.011143294282356803, 'primary': 0.01073977686316574, 'analogy': 0.010123111387289774, 'energy': 0.010024983026033413, 'range': 0.010024983026033413, 'studied': 0.010024983026033413, 'systems': 0.009715690216538807, 'uid': 0.009430055672820027, 'phenomena': 0.008364416981672257, 'cnpq': 0.008364416981672257, 'quantum': 0.008102530593848509, 'faddeev': 0.008102530593848509, 'regime': 0.007776430744467593, 'press': 0.00752498670402647, 'presence': 0.00705497337115487, 'hydrodynamic': 0.00705497337115487, 'fluid': 0.007006108941372907, 'rev': 0.006756407631887272, 'apply': 0.006081948808315529, 'function': 0.006081948808315529, 'bernoulli': 0.005837170727683829, 'oliveira': 0.005837170727683829, 'university': 0.0047267857518724565, 'time': 0.0047267857518724565, 'current': 0.0047267857518724565, 'formalisms': 0.0047267857518724565, 'numbers': 0.004711128459006441, 'proposed': 0.004678497974401133, 'valid': 0.004511754271371239, 'bulence': 0.004061368014874264}"
15,0510048,14751,A. Collinucci,2006.0,"{'terms': 0.12332571148626277, 'fab': 0.06578362469250146, 'fcd': 0.06486769940870124, 'fde': 0.0479417430211837, 'fbc': 0.038510131420251004, 'fce': 0.03012867515586798, 'abelian': 0.026238671455369914, 'mills': 0.025355485448576243, 'dafbc': 0.024474139435375467, 'fac': 0.02295859636265135, 'dbfcd': 0.022104800124231837, 'yang': 0.02189948927765717, 'derivatives': 0.020321358231536208, 'fef': 0.01946939048677615, 'term': 0.01774692003403723, 'transformation': 0.017222532412138475, 'fbd': 0.016863636425443168, 'structure': 0.01646506545070608, 'derivative': 0.014987500023659672, 'group': 0.014354501200165015, 'generators': 0.014354501200165015, 'infeld': 0.013326767719619048, 'rules': 0.012983916970022734, 'open': 0.012820579607574073, 'supersymmetric': 0.012077306246769589, 'equations': 0.011995422104763911, 'trace': 0.011678897460407518, 'ansatz': 0.01153980227903733, 'fad': 0.011531504624700761, 'fbe': 0.010389727888769872, 'motion': 0.010379506158381124, 'coecients': 0.010146526285645146, 'born': 0.00909263334814344, 'fae': 0.00897824835855203, 'variation': 0.008109940957345503, 'fermions': 0.008001386023389137, 'total': 0.007941077820153665, 'rst': 0.0076895476348734695, 'dbfac': 0.007304778623986562, 'tree': 0.0071844208803824305, 'odd': 0.006949682144822014, 'abcd': 0.00659260753786916, 'involving': 0.006346329037755782, 'context': 0.005750404511112722, 'independent': 0.005495668032905223, 'constants': 0.005072510198934586, 'proportional': 0.005072510198934586, 'variations': 0.005072510198934586, 'sevrin': 0.004060033010951908}"
16,0405062,8565,A. De Castro,2004.0,"{'hamiltonian': 0.06700490053257022, 'canonical': 0.059842419980576156, 'eld': 0.05322214861334783, 'super': 0.04928579754455897, 'constraints': 0.049057133187445846, 'gauge': 0.047331999781253534, 'class': 0.04362143964987019, 'rst': 0.04142787850256104, 'volume': 0.03077275195254945, 'antisymmetric': 0.030531538957094432, 'xing': 0.0257615465477656, 'terms': 0.02425967180084515, 'supermembrane': 0.02329318545122003, 'dabcde': 0.02181447048373276, 'reduction': 0.01663054415051823, 'formulation': 0.0164576158915665, 'degrees': 0.015629632065476944, 'master': 0.01555575609191169, 'term': 0.015483125214340997, 'conjugate': 0.015036507463694712, 'dieomorphisms': 0.0128914989774132, 'sezgin': 0.0128914989774132, 'bosonic': 0.012804426320843944, 'constraint': 0.012804426320843944, 'induced': 0.01247809971423222, 'lagrangian': 0.01167167208241373, 'preserving': 0.010977832234484593, 'analysis': 0.010977832234484593, 'construction': 0.010746490491131688, 'adx': 0.010425537395659512, 'chiral': 0.010327812466833057, 'restuccia': 0.010327812285741145, 'light': 0.008912909384101653, 'cone': 0.008912909384101653, 'sector': 0.008883558485710277, 'inverse': 0.008738864259232903, 'multiparticle': 0.008738864259232903, 'abddcd': 0.008690838721213958, 'condition': 0.008690838721213958, 'case': 0.008690838721213958, 'congurations': 0.008609374092869389, 'singular': 0.008601482841684344, 'expression': 0.008325653797170011, 'wit': 0.007787588072915769, 'indices': 0.007110393050686989, 'property': 0.006890936312501487, 'pst': 0.006890936312501487, 'time': 0.006890936191673108, 'quantum': 0.006890936191673108, 'scalar': 0.006890936191673108, 'dependence': 0.006890936191673108, 'momenta': 0.006890936191673108, 'energy': 0.006690238540267828, 'interpretation': 0.005845546068166788, 'explicit': 0.005172497847841212}"
17,0501065,9025,A. Di Giacomo,2005.0,"{'abelian': 0.15673740729850255, 'gauge': 0.14052782553766469, 'monopole': 0.06372731471461382, 'dierent': 0.05330366246547311, 'eld': 0.046215593102507335, 'projection': 0.04227786361833932, 'dened': 0.039391003864169036, 'monopoles': 0.03722228065344438, 'magnetic': 0.0308216238840784, 'parameter': 0.028024783279544968, 'model': 0.02630817499849404, 'called': 0.025693234105004507, 'large': 0.025693234105004507, 'dual': 0.02332768254461043, 'higgs': 0.022431014134872473, 'species': 0.021707326533352056, 'scaling': 0.020601699157144507, 'connement': 0.02022994534378965, 'projections': 0.01906836064491787, 'fig': 0.018669889962690048, 'order': 0.018669889962690048, 'symmetry': 0.01720240803885315, 'exp': 0.015459381233719278, 'charge': 0.014798317153881023, 'conguration': 0.014483591057946915, 'phase': 0.014421148855655106, 'vacuum': 0.01376879412913701, 'mechanism': 0.012188764745857977, 'size': 0.011683247832241006, 'connection': 0.011683247832241006}"
18,0509132,14881,A. Dymarsky,2005.0,"{'action': 0.033595910572280036, 'elds': 0.029480446453910375, 'hep': 0.02334101756878682, 'arxiv': 0.022221495312698833, 'amplitudes': 0.018711313901649908, 'vertex': 0.01854870841086442, 'string': 0.018001243693596625, 'branes': 0.01685164473257689, 'couplings': 0.015594057708292502, 'terms': 0.014261076758485149, 'calculations': 0.01237936845747914, 'nite': 0.011922297040447675, 'correlator': 0.011344994974385625, 'pairings': 0.0109809145223387, 'gauge': 0.010314747119311789, 'function': 0.009928641361036434, 'term': 0.009273121444520954, 'ramond': 0.009001849665954437, 'expression': 0.00894544433270338, 'calculate': 0.008512287747687242, 'operators': 0.00802151055998657, 'energy': 0.007950279197628366, 'case': 0.007881868882528398, 'poles': 0.007881868882528398, 'momentum': 0.00781473642400269, 'rst': 0.00781473642400269, 'complicated': 0.00781473642400269, 'low': 0.0077846568232557995, 'order': 0.0077846568232557995, 'approach': 0.0070959335030516164}"
19,0612078,15579,A. F. de Lima,2006.0,"{'deformed': 0.0895980856593241, 'kink': 0.07843799785049804, 'potential': 0.06308835382373035, 'lima': 0.03031137639082554, 'energy': 0.02248789242641778, 'hep': 0.021853867458988818, 'rodrigues': 0.02074086074654652, 'solution': 0.019945346767163627, 'uctuation': 0.019279918434567833, 'stability': 0.019279918434567833, 'domain': 0.018688028086697894, 'scalar': 0.017782107093095703, 'classical': 0.016626653542427608, 'rev': 0.0161040254424468, 'density': 0.014823353439644887, 'dimensions': 0.014505151623825936, 'hyperbolic': 0.013401647119295687, 'gen': 0.012653745776648156, 'static': 0.012142719621805145, 'silva': 0.012142719621805145, 'ann': 0.011780651958793895, 'topological': 0.011483483653275131, 'sukhatme': 0.010132768879106274, 'invariance': 0.009655999355133886, 'arai': 0.008905846828079638, 'investigated': 0.008842833204452921, 'brazilian': 0.008105310092427827, 'soliton': 0.008105310092427827, 'meeting': 0.007497591431365573, 'roy': 0.007497591431365573, 'models': 0.007497591431365573, 'called': 0.007497591431365573, 'jia': 0.006670573057385963, 'obtains': 0.006086499644345537, 'sectors': 0.006086499644345537, 'federal': 0.006086499644345537, 'carrilo': 0.006086499644345537, 'solitons': 0.005754487536091049, 'supersymmetric': 0.005754487536091049, 'states': 0.005754487536091049, 'vaidya': 0.005754487536091049, 'represents': 0.005412515885784473, 'walls': 0.005079018457738709, 'shape': 0.005079018457738709, 'tanh': 0.005079018457738709, 'thickness': 0.0046071455341980955, 'particles': 0.0046071455341980955}"
20,0510062,4812,A. Foerster,2006.0,"{'abstract': 0.3313596745388345, 'kuhn': 0.3313596745388345, 'quantum': 0.2979416332855769, 'particle': 0.2965257646832818, 'nonrelativistic': 0.2149848687509284, 'constrained': 0.20388745074906017, 'universidade': 0.2017942963562504, 'nacional': 0.2017942963562504, 'fapergs': 0.2017942963562504, 'curved': 0.1954870604595188, 'grande': 0.18451482332179814, 'rio': 0.18360393609112632, 'space': 0.18276897857179872, 'brazil': 0.18276897857179872, 'alegre': 0.14448571151613515, 'determining': 0.14448571151613515, 'unambiguously': 0.14448571151613515, 'fundacao': 0.14448571151613515, 'explored': 0.11243677130181035, 'tecnologico': 0.11243677130181035, 'instituto': 0.09199961113531521, 'porto': 0.09199961113531521, 'dynamics': 0.09199961113531521, 'sys': 0.09199961113531521, 'conselho': 0.09199961113531521, 'amparo': 0.09199961113531521, 'estado': 0.09199961113531521, 'september': 0.09199961097340613, 'caixa': 0.09199961097340613, 'tems': 0.09199961097340613, 'federal': 0.09199961097340613, 'formulations': 0.09199961097340613, 'supported': 0.09199961097340613, 'desenvolvimento': 0.09199961097340613, 'postal': 0.08433070771494422, 'hamiltonian': 0.08433070771494422, 'cientco': 0.08433070771494422, 'pesquisa': 0.08433070771494422, 'girotti': 0.08433070771494422, 'fsica': 0.08433070771494422, 'foerster': 0.08433070771494422, 'functional': 0.08433070771494422, 'cnpq': 0.08433070771494422}"
