,Author Id,Paper Id,Authors,Year
57,56,9109007,Joseph Polchinski,1991
58,23,9108026,Shin'ichi Nojiri,1991
59,57,9109054,L. Bonora,1991
60,12,9109054,M. Martellini,1991
61,58,9109054,C. S. Xiong,1991
62,21,9108011,Ashoke Sen,1991
63,59,9110001,E. B. Kiritsis,1991
64,60,9110001,N. A. Obers,1991
65,61,9110003,Pierre Mathieu,1991
66,62,9110003,David Senechal,1991
67,63,9110003,Mark Walton,1991
68,64,9111027,M. Caselle,1991
69,65,9111027,F. Ravanini,1991
70,66,9112065,Ruth Gregory,1991
71,67,9111030,A. D'adda,1991
72,68,9109051,A. L. Marini,1991
73,69,9110001,M. B. Halpern,1991
74,52,9112004,A. A. Tseytlin,1991
75,30,9110015,C. N. Pope,1991
76,70,9108006,Naoki Sasakura,1991
77,34,9112014,K. W. Xu,1991
78,71,9112017,J. Luis Miramontes,1991
79,72,9112017,Joaquin Sanchez Guillen,1991
80,73,9112020,Roman Jackiw,1991
81,74,9112020,Dan Kabat,1991
82,75,9112020,Miguel Ortiz,1991
83,76,9112033,S. Govindarajan,1991
84,77,9112033,T. Jayaraman,1991
85,78,9112033,V. John,1991
86,79,9112033,P. Majumdar,1991
87,80,9112036,P. Bouwknegt,1991
88,81,9112036,J. McCarthy,1991
89,82,9112036,K. Pilch,1991
90,83,9112043,Ken-ichiro Kobayashi,1991
91,84,9112043,Tsuneo Uematsu,1991
92,85,9112045,Olaf Lechtenfeld,1991
93,86,9112055,A. M. Semikhatov,1991
94,87,9111038,Scott A. Yost,1991
95,88,9111038,Chiara R. Nappi,1991
96,30,9112014,C. N. Pope,1991
97,89,9112062,D. Nanopoulos,1991
98,90,9112065,Fay Dowker,1991
99,91,9112010,Yaron Oz,1991
100,92,9112010,Neil Marcus,1991
101,20,9111048,D. Kutasov,1991
102,93,9111031,J. Ellis,1991
103,94,9111031,N. E. Mavromatos,1991
104,95,9111031,D. V. Nanopoulos,1991
105,96,9111035,Gregory Moore,1991
106,97,9111035,M. Ronen Plesser,1991
107,98,9111035,Sanjaye Ramgoolam,1991
108,99,9111036,O. Babelon,1991
109,100,9111036,D. Bernard,1991
110,101,9111038,Michael D. McGuigan,1991
111,102,9112062,N. Mavromatos,1991
112,33,9112014,X. J. Wang,1991
113,93,9112062,J. Ellis,1991
114,103,9111049,Norisuke Sakai,1991
115,14,9108006,Hirosi Ooguri,1991
116,104,9111049,Yoshiaki Tanii,1991
117,105,9111054,A. Das,1991
118,42,9111054,E. Sezgin,1991
119,106,9111054,S. J. Sin,1991
120,107,9111056,S. Giddings,1991
121,108,9109046,Timothy Hollowood,1991
122,109,9109053,Graham Ross,1991
123,4,9111056,A. Strominger,1991
124,110,9110037,Andrei Linde,1991
125,111,9110005,S. Carlip,1991
126,112,9112048,J. Zinn-Justin,1991
127,113,9108023,Peter Bouwknegt,1991
128,114,9110005,I. I. Kogan,1991
129,115,9111048,E. Martinec,1991
130,116,9110008,D. Luest,1991
131,117,9111064,Simon Dalley,1991
132,118,9111048,N. Seiberg,1991
133,119,9111056,C. Callan,1991
134,120,9108023,Jim McCarthy,1991
135,121,9108023,Krzysztof Pilch,1991
136,122,9109053,Dieter Luest,1991
137,123,9109053,Luis Ibanez,1991
138,124,9110009,John Ellis,1991
139,125,9110009,Yitzhak Frishman,1991
140,93,9109027,J. Ellis,1991
141,94,9109027,N. E. Mavromatos,1991
142,126,9110009,Marek Karliner,1991
143,127,9109035,A. N. Schellekens,1991
144,128,9109040,Tom Banks,1991
145,129,9109040,Michael Dine,1991
146,130,9109040,Nathan Seiberg,1991
147,95,9109027,D. V. Nanopoulos,1991
148,131,9109006,Steven Carlip,1991
149,132,9109035,B. Gato-Rivera,1991
150,133,9201025,U.Schaeper,1992
151,134,9201028,Terry Gannon,1992
152,135,9201026,Jean-Loup Gervais,1992
153,136,9201026,Yutaka Matsuo,1992
154,137,9201027,J. M. Isidro,1992
155,138,9201027,J. M. F. Labastida,1992
156,139,9201027,A. V. Ramallo,1992
157,140,9201028,C.S. Lam,1992
158,141,9201080,R. Paunov,1992
159,142,9201030,L.A. Ferreira,1992
160,143,9201030,J.F. Gomes,1992
161,144,9201080,A. Ch. Ganchev,1992
162,145,9202060,S. Schrans,1992
163,146,9203003,G. Mussardo,1992
164,147,9202001,N. Read,1992
165,148,9201025,J.Laartz,1992
166,149,9201029,Renata Kallosh,1992
167,150,9201025,M.Forger,1992
168,151,9201038,P. Ruelle,1992
169,143,9201024,J.F. Gomes,1992
170,152,9201037,Joshua Feinberg,1992
171,153,9202060,X.J. Wang,1992
172,154,9201038,L. O'Raifeartaigh,1992
173,155,9201038,I. Tsutsui,1992
174,156,9201039,14p,1992
175,157,9201040,Taichiro Kugo,1992
176,158,9201040,Barton Zwiebach,1992
177,21,9201041,Ashoke Sen,1992
178,159,9201042,Alberto Carlini,1992
179,160,9201038,L. Feher,1992
180,161,9201031,M.~Ruiz--Altaba,1992
181,162,9201030,A.H. Zimerman,1992
182,163,9201030,R.M. Ricotta,1992
183,164,9201022,Hiroki Fukutaka,1992
184,165,9201023,C.N. Pope,1992
185,166,9201024,H. Aratyn,1992
186,142,9201024,L.A. Ferreira,1992
187,162,9201024,A.H. Zimerman,1992
188,167,9202061,P. Bowcock,1992
189,168,9202058,Jens Ole Madsen,1992
190,158,9202062,Barton Zwiebach,1992
191,169,9202052,S.Sen,1992
192,170,9202052,R.D.Sorkin,1992
193,171,9202052,A.M.Srivastava,1992
194,172,9202053,Abhay Ashtekar,1992
195,173,9202059,T.R. Taylor,1992
196,174,9202053,C.J. Isham,1992
197,175,9202054,Carlo Rovelli,1992
198,176,9202054,Lee Smolin,1992
199,32,9202055,A. Mikovic,1992
200,177,9202056,D.B. Fairlie,1992
201,178,9202056,J. Govaerts,1992
202,179,9202057,Alexios P. Polychronakos,1992
203,180,9202058,Katsushi Ito,1992
204,172,9202054,Abhay Ashtekar,1992
205,181,9202051,"T.~H\""ubsch",1992
206,182,9202070,G. M. T. Watts,1992
207,183,9201032,Marcio J. Martins,1992
208,184,9202052,L.O'Raifeartaigh,1992
209,185,9202062,Michael Wolf,1992
210,186,9202052,W.D.McGlinn,1992
211,187,9202052,A.P.Balach,1992
212,172,9202063,Abhay Ashtekar,1992
213,175,9202063,Carlo Rovelli,1992
214,188,9202064,F. A. Schaposnik,1992
215,165,9202060,C.N. Pope,1992
216,189,9202065,Jean Avan,1992
217,190,9202066,V.G.J. Rodgers,1992
218,191,9202067,Mirjam Cvetic,1992
219,192,9202068,R.B. Mann,1992
220,193,9202068,M.S. Morris,1992
221,194,9202068,S.F. Ross,1992
222,195,9202069,G.W. Delius,1992
223,196,9202069,M.T. Grisaru,1992
224,197,9202069,D. Zanon,1992
225,198,9202065,Antal Jevicki,1992
226,199,9202070,H. G. Kausch,1992
227,2,9202060,H. Lu,1992
228,200,9202059,Mary K. Gaillard,1992
229,201,9202052,ran,1992
230,36,9201036,Shimon Yankielowicz,1992
231,202,9201070,S.Pacheva,1992
232,203,9201035,M. Talon,1992
233,12,9201068,M. Martellini,1992
234,204,9201068,M. Spreafico,1992
235,205,9201068,K. Yoshida,1992
236,206,9207117,V. Periwal,1992
237,12,9201069,M. Martellini,1992
238,204,9201069,M. Spreafico,1992
239,207,9201067,G. W. Delius,1992
240,208,9201043,Maurizio Martellini,1992
241,159,9201043,Alberto Carlini,1992
242,208,9201042,Maurizio Martellini,1992
243,209,9201012,A.Zabrodin,1992
244,210,9201013,S.Kharchev,1992
245,211,9201013,A.Marshakov,1992
246,212,9201013,A.Mironov,1992
247,213,9201013,A.Morozov,1992
248,209,9201013,A.Zabrodin,1992
249,214,9201014,P. Berglund,1992
250,197,9201067,D. Zanon,1992
251,215,9201014,"T. H\""ubsch",1992
252,196,9201067,M.T. Grisaru,1992
253,216,9201070,E.Nissimov,1992
254,217,9201078,Keith R. Dienes,1992
255,218,9201078,S.-H. Henry Tye,1992
256,219,9201079,M. Bauer,1992
257,220,9201079,N. Sochen,1992
258,221,9201080,P. Furlan,1992
259,222,9201075,S.Higuchi,1992
260,223,9201062,A. Simoni,1992
261,224,9202072,X. Shen,1992
262,205,9201069,K. Yoshida,1992
263,225,9201063,Marc Kamionkowski,1992
264,226,9201063,John March-Russell,1992
265,227,9201064,J.L.F. Barb\'on,1992
266,228,9201065,Yoichiro Matsumura,1992
267,103,9201065,Norisuke Sakai,1992
268,104,9201065,Yoshiaki Tanii,1992
269,228,9201066,Yoichiro Matsumura,1992
270,103,9201066,Norisuke Sakai,1992
271,104,9201066,Yoshiaki Tanii,1992
272,229,9201036,Mordechai Spiegelglas,1992
273,212,9201012,A.Mironov,1992
274,230,9201015,A. Kumar,1992
275,191,9201007,Mirjam Cvetic,1992
276,231,9201007,Stephen Griffies,1992
277,232,9201007,Soo-Jong Rey,1992
278,233,9201008,Satoshi Matsuda,1992
279,234,9201009,Eva Silverstein,1992
280,211,9201010,A.Marshakov,1992
281,212,9201010,A.Mironov,1992
282,213,9201010,A.Morozov,1992
283,235,9201006,Denis Bernard,1992
284,236,9201020,K.S. Stelle,1992
285,237,9201021,J. Russo,1992
286,238,9201021,A.A. Tseytlin,1992
287,239,9201033,L. Chekhov,1992
288,240,9201033,Yu. Makeenko,1992
289,241,9201034,Katsumi Itoh,1992
290,242,9201034,Nobuyoshi Ohta,1992
291,99,9201035,O. Babelon,1992
292,243,9201005,Igor R. Klebanov,1992
293,244,9201015,S. Kar,1992
294,212,9201011,A.Mironov,1992
295,245,9201003,Robbert Dijkgraaf,1992
296,246,9201016,Leonardo Castellani,1992
297,130,9201017,Nathan Seiberg,1992
298,247,9201017,Stephen Shenker,1992
299,248,9201018,Waichi Ogura,1992
300,249,9201019,J. A. Dixon,1992
301,250,9201019,M. J. Duff,1992
302,42,9201019,E. Sezgin,1992
303,251,9201015,S. Khastgir,1992
304,252,9201020,A.S. Galperin,1992
305,213,9201011,A.Morozov,1992
306,211,9201011,A.Marshakov,1992
307,253,9201001,J.-B. Zuber,1992
308,254,9201002,F.Bonechi,1992
309,255,9201002,E.Celeghini,1992
310,256,9201002,R.Giachetti,1992
311,257,9201002,E.Sorace,1992
312,258,9201002,M.Tarlini,1992
313,259,9201004,Nathan Berkovits,1992
314,119,9202085,C. Callan,1992
315,239,9202006,L. Chekhov,1992
316,260,9202085,D. Freed,1992
317,188,9202038,F. A. Schaposnik,1992
318,261,9202038,L. F. Cugli,1992
319,262,9202026,S.G. Rajeev,1992
320,263,9202027,G. Nagao,1992
321,264,9202028,Changrim Ahn,1992
322,265,9202029,Alex,1992
323,266,9202029,er Balatsky,1992
324,267,9202030,L.F. Cugli,1992
325,268,9202030,olo,1992
326,269,9202030,G.L. Rossini,1992
327,270,9202030,F.A. Schaposnik,1992
328,271,9202031,S. Mignemi & D.L. Wiltshire,1992
329,272,9202032,Hidetoshi Awata,1992
330,273,9202033,G. Papadopoulos,1992
331,274,9202033,B. Spence,1992
332,275,9202034,Timothy R. Klassen,1992
333,276,9202034,Ezer Melzer,1992
334,277,9202038,H. Vucetich,1992
335,278,9202035,Adel Bilal,1992
336,279,9202046,Luis E. Ibanez,1992
337,280,9202049,A.P.Zubarev,1992
338,281,9202026,G. Ferretti,1992
339,282,9202039,Harald Skarke,1992
340,283,9202040,Jose M. Figueroa-O'Farrill,1992
341,284,9202040,Eduardo Ramos,1992
342,285,9202041,Michael Lassig,1992
343,286,9202042,Marcio J.Martins,1992
344,287,9202043,H.O. Girotti,1992
345,288,9202043,M. Gomes,1992
346,289,9202043,V.O. Rivelles,1992
347,290,9202039,Maximilian Kreuzer,1992
348,291,9202045,Amitabha Lahiri,1992
349,122,9202046,Dieter Luest,1992
350,292,9202047,Daniel Altschuler,1992
351,293,9202047,Antoine Coste,1992
352,265,9202048,Alex,1992
353,294,9202048,er Moroz,1992
354,295,9202049,I.Ya.Aref'eva,1992
355,296,9202050,J.D. Cohn,1992
356,297,9202025,J.W. van Holten,1992
357,298,9202036,P.S. Howe,1992
358,299,9202037,Dieter R. Brill,1992
359,32,9207006,A. Mikovic,1992
360,300,9207003,Eduardo Fradkin,1992
361,301,9207007,Fabian H.L. Essler,1992
362,302,9206111,Sudipta Mukherji,1992
363,303,9206110,Sung-Kil Yang,1992
364,304,9206101,E. Bergshoeff,1992
365,42,9206101,E. Sezgin,1992
366,305,9206102,Vipul Periwal,1992
367,131,9206103,Steven Carlip,1992
368,306,9206104,C.S.Aulakh,1992
369,307,9206104,V.Soni,1992
370,308,9206105,Stephen P. Braham,1992
371,309,9206106,M. Dubois-Violette,1992
372,310,9206111,Swapna Mahapatra,1992
373,311,9206106,M. Henneaux,1992
374,312,9206106,CM. Viallet,1992
375,313,9206107,Shyamoli Chaudhuri,1992
376,314,9207005,B. Sundborg,1992
377,273,9202036,G. Papadopoulos,1992
378,315,9207005,"U. Lindstr\""{o}m",1992
379,316,9207004,A.M.Semikhatov,1992
380,317,9201080,V. B. Petkova,1992
381,318,9204088,H.-J. Otto,1992
382,268,9202038,olo,1992
383,319,9204089,A.P.Isaev,1992
384,320,9206112,G.Watts,1992
385,321,9206112,R Weston,1992
386,155,9206113,I. Tsutsui,1992
387,160,9206113,L. Feher,1992
388,275,9206114,Timothy R. Klassen,1992
389,276,9206114,Ezer Melzer,1992
390,322,9207001,Thomas Strobl,1992
391,323,9207002,M.A.R. Osorio,1992
392,324,9206111,Anirvan M. Sengupta,1992
393,325,9207002,M.A. Vazquez-Mozo,1992
394,326,9207003,Enrique Moreno,1992
395,327,9207003,Fidel A.Schaposnik,1992
396,132,9207004,B. Gato-Rivera,1992
397,328,9207005,J. Isberg,1992
398,329,9202085,A. Felce,1992
399,330,9202024,C. H. Lai,1992
400,331,9202009,M. Tabuse,1992
401,332,9202074,D. Boulatov,1992
402,333,9202075,Mark Alford,1992
403,334,9202075,Andrew Strominger,1992
404,176,9202076,Lee Smolin,1992
405,335,9202077,B. S. Balakrishna,1992
406,336,9202077,Kameshwar C. Wali,1992
407,337,9202084,Tsutomu Horiguchi,1992
408,35,9202078,Zhu Yang,1992
409,175,9202079,Carlo Rovelli,1992
410,176,9202079,Lee Smolin,1992
411,338,9202080,Yukihisa Itoh,1992
412,104,9202080,Yoshiaki Tanii,1992
413,339,9202081,Michiaki Takama,1992
414,340,9202082,Haye Hinrichsen,1992
415,341,9202082,Vladimir Rittenberg,1992
416,342,9202083,Makoto Sakamoto,1992
417,172,9202079,Abhay Ashtekar,1992
418,343,9202073,Anton V. Zabrodin,1992
419,344,9202051,B.R.~Greene,1992
420,345,9202073,Peter G. O. Freund,1992
421,342,9202084,Makoto Sakamoto,1992
422,42,9202086,E. Sezgin,1992
423,346,9202087,R. Saroja,1992
424,347,9202087,A. Sen,1992
425,348,9202089,E. Abdalla,1992
426,349,9202089,M.C.B. Abdalla,1992
427,350,9202084,Masayoshi Tabuse,1992
428,351,9202089,D. Dalmazi,1992
429,352,9202090,By Matt Visser,1992
430,353,9202092,Paul Ginsparg,1992
431,354,9202092,Fern,1992
432,355,9202092,o Quevedo,1992
433,356,9203001,Jack Morse & Rolf Schimmrigk,1992
434,104,9203002,Yoshiaki Tanii,1992
435,357,9203002,Shun-ichi Yamaguchi,1992
436,358,9203003,F. Colomo,1992
437,359,9202089,K. Harada,1992
438,360,9202071,Giorgio Immirzi,1992
439,350,9202083,Masayoshi Tabuse,1992
440,240,9202006,Yu. Makeenko,1992
441,361,9202051,P.~Berglund,1992
442,362,9202012,Dimitra Karabali,1992
443,363,9202001,G. Moore,1992
444,364,9202002,Stephen-wei Chung,1992
445,218,9202002,S.-H. Henry Tye,1992
446,225,9202003,Marc Kamionkowski,1992
447,226,9202003,John March-Russell,1992
448,365,9202004,S.B. Giddings,1992
449,4,9202004,A. Strominger,1992
450,366,9202005,David Gershon,1992
451,367,9202011,P. Fendley,1992
452,368,9201078,Philip C. Argyres,1992
453,368,9202007,Philip C. Argyres,1992
454,369,9202007,James M. Grochocinski,1992
455,218,9202007,S.-H. Henry Tye,1992
456,370,9202008,Petr Horava,1992
457,371,9202009,Y. Imamura,1992
458,372,9202009,M. Sakamoto,1992
459,373,9202009,T. Sasada,1992
460,263,9202010,G. Nagao,1992
461,374,9202050,H. Dykstra,1992
462,375,9202011,K. Intriligator,1992
463,376,9202018,Bernd Bruegmann,1992
464,377,9202012,B. Sakita,1992
465,378,9202013,V.Spiridonov,1992
466,379,9202014,C.F.E. Holzhey,1992
467,380,9202014,F. Wilczek,1992
468,158,9202015,Barton Zwiebach,1992
469,381,9202016,Noah Linden,1992
470,382,9202016,Malcolm Perry,1992
471,383,9202012,Satoshi Iso,1992
472,384,9202017,Sheldon Katz,1992
473,385,9202018,Rodolfo Gambini,1992
474,386,9202018,Jorge Pullin,1992
475,387,9202019,Shahar Ben-Menahem,1992
476,388,9202020,F.Ravanini,1992
477,389,9202021,Erik Verlinde,1992
478,176,9202022,Lee Smolin,1992
479,390,9202023,Richard H. Price,1992
480,386,9202023,Jorge Pullin,1992
481,391,9202024,Christopher Ting,1992
482,392,9201077,Vl.S.Dotsenko,1992
483,45,9204026,Chiara Nappi,1992
484,393,9201075,K.Amano,1992
485,394,9204057,Gerald Dunne,1992
486,73,9204057,Roman Jackiw,1992
487,395,9204058,Jae-Suk Park,1992
488,396,9204059,Hideaki Aoyama,1992
489,397,9204059,Arihiro Tamura,1992
490,258,9204054,M.Tarlini,1992
491,398,9204060,A.Klemm,1992
492,399,9204061,J.P. Rodrigues,1992
493,400,9204061,A.J. van Tonder,1992
494,401,9204062,Matt Visser,1992
495,316,9204063,A.M.Semikhatov,1992
496,402,9204064,Brian Davies,1992
497,403,9204064,Omar Foda,1992
498,404,9204064,Michio Jimbo,1992
499,405,9204064,Tetsuji Miwa,1992
500,406,9204060,R.Schimmrigk,1992
501,407,9204064,Atsushi  Nakayashiki,1992
502,73,9204056,Roman Jackiw,1992
503,408,9204054,E. Sorace,1992
504,394,9204056,Gerald Dunne,1992
505,409,9204003,an Dasmahapatra,1992
506,410,9203026,M. Blau,1992
507,411,9203027,C.K. Zachos,1992
508,44,9203028,Andrea Pasquinucci,1992
509,412,9203029,Kurt Haller,1992
510,413,9203029,Edwin Lombridas,1992
511,414,9203030,Ivan K. Kostov,1992
512,415,9203030,Matthias Staudacher,1992
513,370,9203031,Petr Horava,1992
514,416,9203032,Roger Brooks,1992
515,238,9203033,A.A. Tseytlin,1992
516,417,9203034,Kanehisa Takasaki,1992
517,418,9203035,C. Gomez,1992
518,419,9203035,G. Sierra,1992
519,420,9203036,G.Aldazabal,1992
520,421,9204002,T. T. Burwick,1992
521,422,9203004,P. Mathieu,1992
522,423,9204002,A. H. Chamseddine,1992
523,424,9204055,C. G. Torre,1992
524,425,9203025,K. Yuan,1992
525,255,9204054,E.Celeghini,1992
526,426,9204044,Silvio P. Sorella,1992
527,427,9204078,K. Behrndt,1992
528,428,9204079,Juan Garcia-Bellido,1992
529,429,9204079,Mariano Quiros,1992
530,430,9204080,Claudio Coriano',1992
531,431,9204080,Rajesh R. Parwani,1992
532,432,9204080,Hidenaga Yamagishi,1992
533,433,9204080,Ismail Zahed,1992
534,434,9204077,A. Kent,1992
535,434,9204081,A. Kent,1992
536,112,9204082,J. Zinn-Justin,1992
537,31,9204083,Edward Witten,1992
538,435,9204084,David A. Lowe,1992
539,436,9204085,B.~Gato-Rivera,1992
540,437,9204085,A.~M.~Semikhatov,1992
541,438,9204086,Y. Frishman,1992
542,439,9204086,J. Lukierski,1992
543,440,9204086,W.J. Zakrzewski,1992
544,441,9204077,G. Watts,1992
545,442,9204044,Nicola Maggiore,1992
546,306,9204066,C.S.Aulakh,1992
547,443,9204043,Yuji Sugawara,1992
548,444,9204045,Alberto Blasi,1992
549,442,9204045,Nicola Maggiore,1992
550,426,9204045,Silvio P. Sorella,1992
551,21,9204046,Ashoke Sen,1992
552,445,9204047,Gordon Semenoff,1992
553,446,9204048,David Eliezer,1992
554,447,9204054,R. Giachetti,1992
555,445,9204048,Gordon Semenoff,1992
556,20,9204049,D. Kutasov,1992
557,448,9204050,Toshio Nakatsu,1992
558,443,9204050,Yuji Sugawara,1992
559,449,9204051,S. Forste,1992
560,243,9204052,Igor R. Klebanov,1992
561,44,9204052,Andrea Pasquinucci,1992
562,450,9204053,Shamit Kachru,1992
563,254,9204054,F.Bonechi,1992
564,19,9204049,M. Bershadsky,1992
565,451,9204065,Joaquim Gomis,1992
566,452,9204082,B. Eynard,1992
567,89,9203025,D. Nanopoulos,1992
568,153,9203024,X.J. Wang,1992
569,453,9203013,N.Shaji,1992
570,43,9203018,L. J. Romans,1992
571,454,9203020,J. Laartz,1992
572,451,9203021,Joaquim Gomis,1992
573,455,9203021,Hiroshi Suzuki,1992
574,456,9203022,Clifford Johnson,1992
575,457,9203022,Tim Morris,1992
576,458,9203022,Bill Spence,1992
577,459,9203023,G.W. Gibbons,1992
578,460,9203023,M.E. Ortiz,1992
579,461,9203019,S.Dalley,1992
580,462,9203023,F. Ruiz Ruiz,1992
581,463,9203013,R.Shankar,1992
582,464,9203012,D.V. Nanopoulos,1992
583,465,9203004,D. Senechal,1992
584,466,9203004,M. Walton,1992
585,467,9203005,K.N. Anagnostopoulos,1992
586,468,9203017,Jouko Mickelsson,1992
587,469,9203005,M. J. Bowick,1992
588,470,9203016,R. P. Woodard,1992
589,471,9203015,Paolo Provero,1992
590,472,9203071,I. Antoniadis,1992
591,473,9203071,K. S. Narain,1992
592,474,9203072,Francisco D. Mazzitelli,1992
593,475,9203073,Sergei V. Pokrovsky,1992
594,476,9203074,Andrew Parkes,1992
595,348,9203075,E. Abdalla,1992
596,477,9203075,M. Forger,1992
597,478,9203076,T.J. Hollowood,1992
598,479,9203077,T.Tjin,1992
599,480,9203071,E. Gava,1992
600,481,9203044,M.Olshanetsky,1992
601,213,9203044,A.Morozov,1992
602,212,9203044,A.Mironov,1992
603,482,9203013,M.Sivakumar,1992
604,483,9203014,Lay Nam Chang,1992
605,484,9203014,Chopin Soo,1992
606,442,9203015,Nicola Maggiore,1992
607,485,9203016,Gary Kleppe,1992
608,486,9203025,J. Lopez,1992
609,487,9203006,Kiyoshi Kamimura,1992
610,488,9203006,Takeshi Fukuyama,1992
611,386,9203040,Jorge Pullin,1992
612,489,9203041,Julian Barbour,1992
613,490,9203038,F. De Jonghe,1992
614,176,9203041,Lee Smolin,1992
615,365,9203042,S.B. Giddings,1992
616,491,9203042,J.A. Harvey,1992
617,4,9203042,A. Strominger,1992
618,210,9203043,S.Kharchev,1992
619,211,9203043,A.Marshakov,1992
620,212,9203043,A.Mironov,1992
621,213,9203043,A.Morozov,1992
622,211,9203044,A.Marshakov,1992
623,492,9203042,B. Birnir,1992
624,493,9203037,D. B. Uglov,1992
625,494,9203037,I. T. Ivanov,1992
626,495,9203036,J.M.Maldacena,1992
627,145,9203024,S. Schrans,1992
628,385,9203040,Rodolfo Gambini,1992
629,496,9203006,Sinobu Makita,1992
630,376,9203040,Bernd Bruegmann,1992
631,135,9203039,Jean-Loup Gervais,1992
632,497,9203007,Domenico Giulini,1992
633,498,9203013,T.R.Govindarajan,1992
634,499,9203007,Jorma Louko,1992
635,500,9203008,Alfred Shapere,1992
636,501,9203009,J. Ambjorn,1992
637,239,9203009,L. Chekhov,1992
638,240,9203009,Yu. Makeenko,1992
639,302,9203010,Sudipta Mukherji,1992
640,502,9203011,Daniel Arnaudon,1992
641,124,9203012,John Ellis,1992
642,503,9203012,N.E. Mavromatos,1992
643,504,9203008,Amit Giveon,1992
644,505,9203023,T.M. Samols,1992
645,2,9203024,H. Lu,1992
646,165,9203024,C.N. Pope,1992
647,506,9203038,R. Siebelink,1992
648,507,9203038,W. Troost,1992
649,508,9203039,Mikhail V. Saveliev,1992
650,509,9201076,Mark Doyle,1992
651,510,9204065,Jordi Par\'{\i}s,1992
652,281,9204076,G. Ferretti,1992
653,12,9204032,M. Martellini,1992
654,511,9204033,Nathan Weiss,1992
655,512,9204003,Srin,1992
656,513,9204088,H. Dorn,1992
657,514,9203004,A.N. Kirillov,1992
658,515,9203003,A. Koubek,1992
659,516,9201053,S.P. de Alwis,1992
660,517,9201054,Michael B. Green,1992
661,518,9201055,C. Itzykson,1992
662,253,9201055,J.-B. Zuber,1992
663,31,9201056,Edward Witten,1992
664,158,9201056,Barton Zwiebach,1992
665,519,9201057,C. M. Hull,1992
666,520,9201058,R.Efraty,1992
667,521,9201052,S. mukherji,1992
668,522,9201058,V.P.Nair,1992
669,523,9201059,John Preskill,1992
670,7,9204032,F. Fucito,1992
671,524,9201059,Frank Wilczek,1992
672,525,9204032,A. Carlini,1992
673,526,9204031,M. Cvetic,1992
674,527,9204039,A.Aurilia,1992
675,528,9204035,R. D'Auria,1992
676,529,9204035,A. Ceresole,1992
677,530,9204034,Andre J. van Tonder,1992
678,66,9204025,Ruth Gregory,1992
679,531,9204025,Jeffrey Harvey,1992
680,85,9204026,Olaf Lechtenfeld,1992
681,532,9206107,Joseph D. Lykken,1992
682,533,9204027,Miao Li,1992
683,534,9204028,Avinash Dhar,1992
684,535,9204028,Gautam M,1992
685,536,9204028,al,1992
686,537,9204028,Spenta R. Wadia,1992
687,538,9204029,Viqar Husain,1992
688,472,9204030,I. Antoniadis,1992
689,480,9204030,E. Gava,1992
690,539,9204030,K.S. Narain,1992
691,540,9204031,S. Griffies,1992
692,541,9204041,A. Lerda,1992
693,542,9201060,J.M. Lina,1992
694,543,9201061,T.Banks,1992
695,145,9201050,S. Schrans,1992
696,544,9201050,K.W. Xu,1992
