Paper Id,Authors,Year
9202052," A.P.Balachandran, W.D.McGlinn, L.O'Raifeartaigh, S.Sen, R.D.Sorkin,  A.M.Srivastava",1992
9202053, Abhay Ashtekar and C.J. Isham,1992
9202054," Abhay Ashtekar, Carlo Rovelli and Lee Smolin",1992
9202055, A. Mikovic,1992
9202056, D.B. Fairlie and J. Govaerts,1992
9202057, Alexios P. Polychronakos,1992
9202058, Katsushi Ito and Jens Ole Madsen,1992
9202059, Mary K. Gaillard and T.R. Taylor,1992
9202060," H. Lu, C.N. Pope, S. Schrans and X.J. Wang",1992
9202061, P. Bowcock,1992
9202062, Michael Wolf and Barton Zwiebach,1992
9202063, Abhay Ashtekar and Carlo Rovelli,1992
9202064, F. A. Schaposnik,1992
9202065, Jean Avan and Antal Jevicki,1992
9202066, V.G.J. Rodgers,1992
9202067, Mirjam Cvetic,1992
9202068," R.B. Mann, M.S. Morris and S.F. Ross",1992
9202069," G.W. Delius, M.T. Grisaru and D. Zanon",1992
9202070, H. G. Kausch and G. M. T. Watts,1992
9202071," Giorgio Immirzi (Universita' di Perugia & INFN Perugia, Italy)",1992
9202072, X. Shen,1992
9202073, Peter G. O. Freund and Anton V. Zabrodin,1992
9202074, D. Boulatov,1992
9202075, Mark Alford and Andrew Strominger,1992
9202076, Lee Smolin,1992
9202077, B. S. Balakrishna and Kameshwar C. Wali,1992
9202078, Zhu Yang,1992
9202079," Abhay Ashtekar, Carlo Rovelli and Lee Smolin",1992
9202080, Yukihisa Itoh and Yoshiaki Tanii,1992
9202081, Michiaki Takama,1992
9202082, Haye Hinrichsen and Vladimir Rittenberg,1992
9202083, Makoto Sakamoto and Masayoshi Tabuse,1992
9202084," Tsutomu Horiguchi, Makoto Sakamoto and Masayoshi Tabuse",1992
9202085," C. Callan, A. Felce, and D. Freed",1992
9202086, E. Sezgin,1992
9202087, R. Saroja and A. Sen,1992
9202089," E. Abdalla, M.C.B. Abdalla, D. Dalmazi, K. Harada",1992
9202090, By Matt Visser,1992
9202092, Paul Ginsparg and Fernando Quevedo,1992
9203001, Jack Morse & Rolf Schimmrigk,1992
9203002, Yoshiaki Tanii and Shun-ichi Yamaguchi,1992
9203003," F. Colomo, A. Koubek, G. Mussardo",1992
9203004," A.N. Kirillov, P. Mathieu, D. Senechal and M. Walton",1992
9203005, K.N. Anagnostopoulos and M. J. Bowick,1992
9203006," Kiyoshi Kamimura, Sinobu Makita and Takeshi Fukuyama",1992
9203007, Domenico Giulini and Jorma Louko,1992
9203008, Amit Giveon and Alfred Shapere,1992
9203009," J. Ambjorn, L. Chekhov and Yu. Makeenko",1992
9203010, Sudipta Mukherji,1992
9203011, Daniel Arnaudon,1992
9203012," John Ellis, N.E. Mavromatos and D.V. Nanopoulos",1992
9203013," T.R.Govindarajan, R.Shankar, N.Shaji and M.Sivakumar",1992
9203014, Lay Nam Chang and Chopin Soo,1992
9203015, Nicola Maggiore and Paolo Provero,1992
9203016, Gary Kleppe and R. P. Woodard,1992
9203017, Jouko Mickelsson,1992
9203018, L. J. Romans,1992
9203019, S.Dalley,1992
9203020, J. Laartz,1992
9203021, Joaquim Gomis and Hiroshi Suzuki,1992
9203022," Clifford Johnson, Tim Morris and Bill Spence",1992
9203023," G.W. Gibbons, M.E. Ortiz, F. Ruiz Ruiz and T.M. Samols",1992
9203024," H. Lu, C.N. Pope, S. Schrans and X.J. Wang",1992
9203025," J. Lopez, D. Nanopoulos, and K. Yuan",1992
9203026, M. Blau,1992
9203027, C.K. Zachos,1992
9203028, Andrea Pasquinucci,1992
9203029, Kurt Haller and Edwin Lombridas,1992
9203030, Ivan K. Kostov and Matthias Staudacher,1992
9203031, Petr Horava,1992
9203032, Roger Brooks,1992
9203033, A.A. Tseytlin,1992
9203034, Kanehisa Takasaki,1992
9203035," C. Gomez, G. Sierra",1992
9203036," G.Aldazabal, J.M.Maldacena",1992
9203037, I. T. Ivanov and D. B. Uglov (SUNY Stony Brook),1992
9203038," F. De Jonghe, R. Siebelink and W. Troost",1992
9203039, Jean-Loup Gervais and Mikhail V. Saveliev,1992
9203040," Bernd Bruegmann, Rodolfo Gambini, Jorge Pullin",1992
9203041, Julian Barbour and Lee Smolin,1992
9203042," B. Birnir, S.B. Giddings, J.A. Harvey, and A. Strominger",1992
9203043," S.Kharchev, A.Marshakov, A.Mironov, A.Morozov",1992
9203044," A.Marshakov, A.Mironov, A.Morozov, M.Olshanetsky",1992
9203045, E.S. Fradkin and V.Ya Linetsky,1992
9203046," F.Alexander Bais, Peter van Driel and Mark de Wild Propitius",1992
9203047," F.Alexander Bais, Peter van Driel and Mark de Wild Propitius",1992
9203048," F.Bonechi, E.Celeghini, R.Giachetti, E.Sorace and M.Tarlini",1992
9203049, Hiroki Fukutaka,1992
9203050, Dan Christensen and Robert B. Mann,1992
9203051, A.Galperin and E.Sokatchev,1992
9203052, S. W. Hawking,1992
9203053," M.Carfora, M.Martellini and A.Marzuoli",1992
9203054, L. Susskind and L. Thorlacius,1992
9203055," G.Bonacina, A.Gamba and M.Martellini",1992
9203056, Daniel Cangemi and Roman Jackiw,1992
9203057, Matt Visser,1992
9203058," J. Distler, M. Doyle",1992
9203059, S.B. Giddings,1992
9203060, G. Moore and R. Plesser,1992
9203061, Gregory Moore,1992
9203062, Didier A Depireux,1992
9203063, Dileep P. Jatkar,1992
9203064, C. Destri and H.J. de Vega,1992
9203065, C. Destri and H.J. de Vega,1992
9203066, S. Cecotti and C. Vafa,1992
9203067, Ralph Lano and V.G.J. Rodgers,1992
9203068, V.G.J. Rodgers,1992
9203069," Lev Rozansky, Herbert Saleur",1992
9203070, P.S. Howe and G. Papadopoulos,1992
9203071," I. Antoniadis, E. Gava and K. S. Narain",1992
9203072, Francisco D. Mazzitelli,1992
9203073, Sergei V. Pokrovsky,1992
9203074, Andrew Parkes,1992
9203075," E. Abdalla, M. Forger",1992
9203076, T.J. Hollowood,1992
9203077, T.Tjin,1992
9203078," S.J. Gates, Jr, H. Nishino and S.V. Ketov",1992
9203079," Abhay Ashtekar, Carlo Rovelli and Lee Smolin",1992
9203080," H. Nishino, S.J. Gates, Jr, and S.V. Ketov",1992
9203081," S.V. Ketov, S.J. Gates, Jr. and H. Nishino",1992
9203082, Dan Kabat and Miguel Ortiz,1992
9203083, James H. Horne and Gary T. Horowitz,1992
9203084, Anamaria Font,1992
9204001, A.Aurilia and E.Spallucci,1992
9204002, T. T. Burwick and A. H. Chamseddine,1992
9204003," Srinandan Dasmahapatra, Rinat Kedem and Barry McCoy",1992
9204004," Daniel Z. Freedman, Gianluca Grignani, Nuria Rius and Kenneth Johnson",1992
9204006, Fernando Quevedo,1992
9204007, H.Itoyama and B.Razzaghe-Ashrafi,1992
9204008, Daniel Cangemi,1992
9204009," Giuseppe Bonacina, Maurizio Martellini and Mario Rasetti\\  We show that 2+1-dimensional Euclidean quantum gravity is equivalent, undersome mild topological assumptions, to a Gaussian fermionic system. Inparticular, for manifolds topologically equivalent to $\Sigma_g\times\RrR$ with$\Sigma_g$ a closed and oriented Riemann surface of genus $g$, thecorresponding 2+1-dimensional Euclidean quantum gravity may be related to the3D-lattice Ising model before its thermodynamic limit. \\",1992
9204010," Taro Kashiwa, Shuji Nima and Seiji Sakoda",1992
9204011, Supriya K. Kar and Alok Kumar,1992
9204012," B. de Carlos, J.A. Casas and C. Mu\~noz",1992
9204013, Joseph A. Minahan,1992
9204014, C. G. Torre,1992
9204015," T.T. Burwick, A.H. Chamseddine and K.Meissner",1992
9204016," E.Ivanov, S.Krivonos and A.Pichugin",1992
9204017, Sanjay Jain and Samir D. Mathur,1992
9204018, E. Brezin and S. Hikami,1992
9204019," L.Bonora, C.S.Xiong",1992
9204020," D. Gepner and A. Schwimmer (Weizmann Institute of science, Israel)",1992
9204021, Claudio Coriano',1992
9204022, N. Manojlovic and A. Mikovic,1992
9204023, E.Ivanov and S.Krivonos,1992
9204024, J. Panvel,1992
9204025, Ruth Gregory and Jeffrey Harvey,1992
9204026, Olaf Lechtenfeld and Chiara Nappi,1992
9204027, Miao Li,1992
9204028," Avinash Dhar, Gautam Mandal and Spenta R. Wadia",1992
9204029, Viqar Husain,1992
9204030," I. Antoniadis, E. Gava and K.S. Narain",1992
9204031, M. Cvetic and S. Griffies,1992
9204032," A. Carlini, F. Fucito and M. Martellini",1992
9204033, Nathan Weiss,1992
9204034, Andre J. van Tonder,1992
9204035," A. Ceresole, R. D'Auria, S. Ferrara, W. Lerche and J. Louis",1992
9204036, Philippe Roche,1992
9204037," S. Stieberger, D. Jungnickel, J. Lauer, M. Spalinski",1992
9204038, H. Lu and C.N. Pope,1992
9204039," A.Aurilia, A.Smailagic, E.Spallucci",1992
9204040," S. Ferrara, P. Fr\`e, P. Soriani",1992
9204041," P. Fre', L. Girardello, A. Lerda and P. Soriani",1992
9204042, E. Raiten,1992
9204043, Toshio Nakatsu and Yuji Sugawara,1992
9204044, Nicola Maggiore and Silvio P. Sorella,1992
9204045," Alberto Blasi, Nicola Maggiore and Silvio P. Sorella",1992
9204046, Ashoke Sen,1992
9204047, Gordon Semenoff,1992
9204048, David Eliezer and Gordon Semenoff,1992
9204049, M. Bershadsky and D. Kutasov,1992
9204050, Toshio Nakatsu and Yuji Sugawara,1992
9204051, S. Forste,1992
9204052, Igor R. Klebanov and Andrea Pasquinucci,1992
9204053, Shamit Kachru,1992
9204054," F.Bonechi, E.Celeghini, R. Giachetti, E. Sorace and M.Tarlini",1992
9204055, C. G. Torre,1992
9204056, Gerald Dunne and Roman Jackiw,1992
9204057, Gerald Dunne and Roman Jackiw,1992
9204058, Jae-Suk Park,1992
9204059, Hideaki Aoyama and Arihiro Tamura,1992
9204060, A.Klemm and R.Schimmrigk,1992
9204061, J.P. Rodrigues and A.J. van Tonder,1992
9204062, Matt Visser,1992
9204063, A.M.Semikhatov,1992
9204064," Brian Davies, Omar Foda, Michio Jimbo, Tetsuji Miwa and Atsushi  Nakayashiki",1992
9204065, Joaquim Gomis and Jordi Par\'{\i}s,1992
9204066, C.S.Aulakh,1992
9204067, Kenichro Aoki and Eric D'Hoker,1992
9204068," Omar Foda, and Tetsuji Miwa",1992
9204069, Peter Peldan,1992
9204070," A.Smailagic, E.Spallucci",1992
9204071," F. Delduc, E.Ivanov and E. Sokatchev",1992
9204072, S.B. Giddings and W.M. Nelson,1992
9204073, Hiroshi Nohara,1992
9204074, D. B. Fairlie and J. Govaerts,1992
9204075," G. Ferretti, S.G.Rajeev and Z. Yang",1992
9204076," G. Ferretti, S.G.Rajeev and Z. Yang",1992
9204077, A. Kent and G. Watts,1992
9204078, K. Behrndt,1992
9204079, Juan Garcia-Bellido and Mariano Quiros,1992
9204080," Claudio Coriano', Rajesh R. Parwani, Hidenaga Yamagishi, Ismail Zahed",1992
9204081, A. Kent,1992
9204082, B. Eynard and J. Zinn-Justin,1992
9204083, Edward Witten,1992
9204084, David A. Lowe,1992
9204085, B.~Gato-Rivera and A.~M.~Semikhatov,1992
9204086," Y. Frishman, J. Lukierski and W.J. Zakrzewski",1992
9204088, H. Dorn and H.-J. Otto,1992
9204089," A.T.Filippov, A.P.Isaev and A.B.Kurdikov",1992
9204090, Gary W. Gibbons and Malcolm J. Perry,1992
9204091, Washington Taylor IV,1992
9204092, Leonid Dickey,1992
9204093, C.N. Pope,1992
9204094, P. Fendley and H. Saleur,1992
9204095," O. Aharony, O. Ganor , N. Sochen J. Sonnenschein and S. Yankielowicz",1992
9204096," John Ellis, N.E. Mavromatos and D.V. Nanopoulos",1992
9204097, A. Kent,1992
9204098, A. Kent,1992
9204099," M\'aximo Ba\~nados, Claudio Teitelboim, and Jorge Zanelli",1992
9204100," Z. Maassarani, D. Nemeschansky and N.P. Warner",1992
9204101, Daniel Cangemi and Choonkyu Lee,1992
9204102," Sergio Cecotti, Paul Fendley, Ken Intriligator and Cumrun Vafa",1992
9204103, Daniel Kabat,1992
9205001, Vidyut Jain and Oleg Ogievetsky,1992
9205002, H. Awata and Y. Yamada,1992
9205003, O. Ogievetsky and B. Zumino,1992
9205004, Maximilian Kreuzer and Harald Skarke,1992
9205005, Glenn Barnich and Marc Henneaux,1992
9205006, J. Greensite,1992
9205007, John C. Baez,1992
9205008, Jerome P. Gauntlett,1992
9205009, Gabriel Lopes Cardoso and Burt A. Ovrut,1992
9205010, L. Alvarez-Gaume and J.L.F. Barbon,1992
9205011," M. Dine, R.G. Leigh and D.A. MacIntire",1992
9205012," B. de Wit, M.T. Grisaru, E. Rabinovici, H. Nicolai",1992
9205013, G.M.T.Watts,1992
9205014, G.P.Korchemsky,1992
9205015," I. Antoniadis, P.O. Mazur and E. Mottola",1992
9205016, Jnanadeva Maharana,1992
9205017, Christopher Ting and C. H. Lai,1992
9205018, Marc Henneaux,1992
9205019, C.S.Aulakh,1992
9205020, I.Ya.Aref'eva and A.P.Zubarev,1992
9205021, B. Harms and Y. Leblanc,1992
9205022, Steven Carlip,1992
9205023," Rue-Ron Hsu, Green Huang , Wei-Fu Lin, and Chin-Rong Lee",1992
9205024, Marcio J. Martins,1992
9205025," M. Fabbrichesi, R. Iengo, K. Roland",1992
9205026, J.D. Cohn and Vipul Periwal,1992
9205027," Renata Kallosh, Andrei Linde, Tom\'as Ort\'in, Amanda Peet and Antoine  Van Proeyen",1992
9205028, Andrew Strominger,1992
9205029, Mirjam Cvetic and Paul Langacker,1992
9205030, Haruhiko Terao,1992
9205031, Costas Bachas and Marios Petropoulos,1992
9205032, W.A. Sabra,1992
9205033, M. Fabbrichesi and K. Roland,1992
9205034, Jean-Loup Gervais,1992
9205035, HoSeong La,1992
9205036, Alfred S. Goldhaber,1992
9205037, I. Bars and K. Sfetsos (USC),1992
9205038, Abhay Ashtekar,1992
9205039," P. P. Kulish, R. Sasaki and C. Schwiebert",1992
9205040, Patrick Dorey,1992
9205041, Albrecht Klemm and Stefan Theisen,1992
9205042, Peter Suranyi,1992
9205043, Joseph Polchinski and Zhu Yang,1992
9205044, T. Kuramoto,1992
9205045, Silvia Penati and Daniela Zanon,1992
9205046, C. Kounnas and D. Luest,1992
9205047," E. Elizalde and S.D. Odintsov (Department E.C.M., Faculty of Physics,  University of Barcelona, Spain)",1992
9205048," E. Elizalde and S.D.Odintsov (Department E.C.M., Faculty of Physics,  University of Barcelona, Spain)",1992
9205049," E. Elizalde and S.D. Odintsov (Department E.C.M., Faculty of Physics,  University of Barcelona, Spain)",1992
9205050," E. Elizalde and S.D. Odintsov (Department E.C.M., Faculty of Physics,  University of Barcelona, Spain)",1992
9205051, Ramzi R. Khuri,1992
9205052, Ramzi R. Khuri,1992
9205053, Noureddine Mohammedi,1992
9205054," H.Lu, C.N. Pope, X.J. Wang and K.W. Xu",1992
9205055," Michio Jimbo, Kei Miki, Tetsuji Miwa, Atsushi Nakayashiki",1992
9205056," Clifford V.Johnson, Tim R. Morris and Anders W\""atterstam",1992
9205057, A.D'Adda,1992
9205058, A.A. Tseytlin,1992
9205059, V. Kazakov and I. Kostov,1992
9205060, M. Cveti\v c and R. L. Davis,1992
9205061, Jennie Traschen and Robert Ferrel,1992
9205062," Supriya K. Kar, S. Pratik Khastgir and Gautam Sengupta",1992
9205063, Ulf H. Danielsson,1992
9205064, D. Bernard and A. LeClair,1992
9205065, Vl.S.Dotsenko,1992
9205066," H.Y. Lee, A. Nakamichi and T. Ueno",1992
9205067, P.Montague,1992
9205068, Vadim Kaplunovsky,1992
9205069, S.P. de Alwis,1992
9205070, Vadim Kaplunovsky,1992
9205071," H. Grosse, W. Kummer, P. Pre\v{s}najder and D.J. Schwarz",1992
9205072, A. N. Schellekens,1992
9205073, J. Ambjorn and C.F. Kristjansen,1992
9205074, J. W. van Holten and R. H. Rietdijk,1992
9205076, M.A. Mart\'{\i}n-Delgado,1992
9205077," G. Bimonte, K. S. Gupta, A. Stern",1992
9205078, Swapna Mahapatra,1992
9205079, M{\aa}ns Henningson,1992
9205080, Arlen Anderson,1992
9205081, Ramzi R. Khuri,1992
9205082," Stephen G. Naculich, Harold A. Riggs, and Howard J. Schnitzer",1992
9205083, HoSeong La,1992
9205084, Hidenori Sonoda,1992
9205085, Hidenori Sonoda,1992
9205086, Stephane Durand,1992
9205087, Tatsuo Kobayashi and Tsuneo Uematsu,1992
9205088, Albert Schwarz,1992
9205089, Adel Bilal and Curtis Callan,1992
9205090, Hirosi Ooguri,1992
9205091, Ramzi R. Khuri,1992
9205092," Marc Henneaux, Claudio Teitelboim, J. David Vergara",1992
9205093," G.W. Delius, M.T. Grisaru and P. van Nieuwenhuizen",1992
9205094, L. Dolan and James T. Liu,1992
9205095, Ian I. Kogan,1992
9205096, H. Cateau & K. Sumiyoshi,1992
9205097, J. Lee Montag,1992
9205098, R.B. Mann and S.F. Ross,1992
9205099, J. A. Dixon and M. J. Duff,1992
9205100, J. Distler,1992
9205101, Nobuyoshi Ohta and Hisao Suzuki,1992
9205102, Roberto Zucchini,1992
9205103, Leonardo Castellani,1992
9205104, Jae-Suk Park,1992
9205105, Jeremy Schiff,1992
9205106," L.Chekhov\\  We study the algebraic geometrical background of the Penner--Kontsevichmatrix model with the potential $N\alpha \tr {\bigl(- \fr 12 \L X\L X +\log(1-X)+X\bigr)}$. We show that this model describes intersection indices oflinear bundles on the discretized moduli space right in the same fashion as theKontsevich model is related to intersection indices (cohomological classes) onthe Riemann surfaces of arbitrary genera. The special role of the logarithmicpotential originated from the Penner matrix model is demonstrated. The boundaryeffects which was unessential in the case of the Kontsevich model are nowrelevant, and intersection indices on the discretized moduli space of genus $g$are expressed through Kontsevich's indices of the genus $g$ and of the lowergenera.\\",1992
9205107," John Ellis, N.E. Mavromatos and D.V. Nanopoulos",1992
9205108, Ramzi R. Khuri,1992
9205109," R. Cuerno, G. Sierra and C. Gomez",1992
9205110, I.M.Krichever,1992
9205111, Hitoshi Ikemori,1992
9205112, Arlen Anderson,1992
9205113," P.C. Argyres, E. Lyman, and S.-H.H. Tye",1992
9205114," Amanda Peet, Leonard Susskind and Larus Thorlacius",1992
9205115, Hsien-Chung Kao and Kimyeong Lee,1992
9205116, A.P. Balachandran and P. Teotonio-Sobrinho,1992
9205117, Feng Yu and Yong-Shi Wu,1992
9206001," A. Berkovich, G. Sierra and C. Gomez",1992
9206002," Olivier Babelon, Denis Bernard",1992
9206003," Olivier Babelon, Denis Bernard",1992
9206004," Mirjam Cvetic, Stephen Griffies, and Soo-Jong Rey",1992
9206005, Jouko Mickelsson,1992
9206006, I. Bars and K. Sfetsos,1992
9206007," G. Giavarini, C.P. Martin, F. Ruiz Ruiz",1992
9206008, Katri Huitu,1992
9206009," Jin-Min Shen, Zheng-Mao Sheng, Zhong-Hau Wang",1992
9206010, A. Hietamaki and A.J. Niemi,1992
9206011, Daniel C. Cabra,1992
9206012, Nobuyoshi Ohta,1992
9206013, Shahn Majid and M.J Rodriguez-Plaza,1992
9206014, Neil Marcus and Yaron Oz,1992
9206015, V.A. Kazakov and A.A. Migdal,1992
9206016, Ashoke Sen,1992
9206017, S. Pratik Khastgir and Jnanadeva Maharana,1992
9206018, S. Mignemi and N. R. Stewart,1992
9206019, Laurent Baulieu,1992
9206020, S. P. de Alwis,1992
9206021, Daniel S. Freed,1992
9206022, R.B. Mann and S.F. Ross,1992
9206023, Amit Giveon,1992
9206024," Peter Schupp, Paul Watts, and Bruno Zumino",1992
9206025, J.S.Dowker and A.Wolski,1992
9206026," E. Bergshoeff, L.A.J London and P.K. Townsend",1992
9206027," A. Cappelli, C. A. Trugenberger and G. R. Zemba",1992
9206028," D.Z.Freedman, K.Johnson, R.Munoz-Tapia, X.Vilasis-Cardona",1992
9206029," Peter Schupp, Paul Watts, and Bruno Zumino",1992
9206030, Kanehisa Takasaki,1992
9206031, C. M. Hull and L. Palacios,1992
